learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0625,-1.616879469818539E-14,1000.0,87.5,75.00179987040934,10.714285714285724,74.48979591836735,1000.0,-1.0,9.0
2000.0,0.125,-3.233758939637078E-14,2000.0,90.3,76.10060413730572,30.714285714285737,67.44966442953022,2000.0,-1.0,9.0
3000.0,0.203125,-5.254858276910252E-14,3000.0,89.8,78.88592187791096,45.16129032258067,75.18248175182482,3000.0,-1.0,9.0
4000.0,0.265625,-6.871737746728791E-14,4000.0,87.0,72.55195071174903,23.07692307692309,66.75191815856778,4000.0,-1.0,9.0
5000.0,0.328125,-8.48861721654733E-14,5000.0,85.2,67.09473159972964,7.500000000000005,58.19209039548022,5000.0,-1.0,9.0
6000.0,0.40625,-1.0509716553820505E-13,6000.0,86.9,72.69855031386247,13.81578947368422,68.6602870813397,6000.0,-1.0,9.0
7000.0,0.46875,-1.2126596023639043E-13,7000.0,85.6,69.97610598434588,24.607329842931907,65.7957244655582,7000.0,-1.0,9.0
8000.0,0.546875,-1.4147695360912217E-13,8000.0,83.89999999999999,67.78711484593836,5.847953216374273,69.67984934086628,8000.0,-1.0,9.0
9000.0,0.609375,-1.5764574830730757E-13,9000.0,86.9,73.74812629756399,23.837209302325597,72.36286919831223,9000.0,-1.0,9.0
10000.0,0.6875,-1.778567416800393E-13,10000.0,87.8,75.57508658832009,14.685314685314696,74.8971193415638,10000.0,-1.0,9.0
11000.0,0.765625,-1.9806773505277105E-13,11000.0,89.7,79.33718504252928,42.45810055865925,79.35871743486975,11000.0,-1.0,9.0
12000.0,0.828125,-2.1423652975095645E-13,12000.0,86.4,72.43448122099034,1.449275362318842,69.71046770601336,12000.0,-1.0,9.0
13000.0,0.90625,-2.3444752312368816E-13,13000.0,87.1,74.19752296220436,9.790209790209797,73.88663967611336,13000.0,-1.0,9.0
14000.0,0.96875,-2.5061631782187356E-13,14000.0,89.2,78.40518275613853,-10.204081632653072,76.82403433476395,14000.0,-1.0,9.0
15000.0,1.046875,-2.7082731119460527E-13,15000.0,87.6,74.15977594025074,14.482758620689667,72.44444444444444,15000.0,-1.0,9.0
16000.0,1.109375,-2.8699610589279067E-13,16000.0,87.2,73.39972319086947,21.951219512195134,69.59619952494062,16000.0,-1.0,9.0
17000.0,1.1875,-3.072070992655224E-13,17000.0,87.0,71.04934972385534,18.750000000000014,63.888888888888886,17000.0,-1.0,9.0
18000.0,1.25,-3.233758939637078E-13,18000.0,88.1,75.36089048640501,14.388489208633104,71.256038647343,18000.0,-1.0,9.0
19000.0,1.3125,-3.3954468866189317E-13,19000.0,91.2,80.75956009357851,34.32835820895525,75.21126760563381,19000.0,-1.0,9.0
20000.0,1.390625,-3.597556820346249E-13,20000.0,86.9,73.79580732917267,-5.645161290322586,74.5136186770428,20000.0,-1.0,9.0
21000.0,1.453125,-3.759244767328103E-13,21000.0,86.5,72.45077872465473,26.22950819672133,69.5945945945946,21000.0,-1.0,9.0
22000.0,1.515625,-3.920932714309957E-13,22000.0,91.8,78.86074905131167,56.14973262032089,70.07299270072994,22000.0,-1.0,9.0
23000.0,1.578125,-4.0826206612918107E-13,23000.0,87.4,74.00292982854313,16.55629139072849,70.49180327868852,23000.0,-1.0,9.0
24000.0,1.65625,-4.284730595019128E-13,24000.0,85.6,69.55345060893099,2.7027027027027044,63.63636363636363,24000.0,-1.0,9.0
25000.0,1.71875,-4.446418542000982E-13,25000.0,86.4,70.83410179756294,-17.241379310344847,63.92572944297083,25000.0,-1.0,9.0
26000.0,1.78125,-4.608106488982836E-13,26000.0,87.2,74.08739027629319,8.571428571428578,71.04072398190044,26000.0,-1.0,9.0
27000.0,1.84375,-4.76979443596469E-13,27000.0,89.2,77.28802153432032,-0.9345794392523374,73.65853658536587,27000.0,-1.0,9.0
28000.0,1.921875,-4.971904369692007E-13,28000.0,88.2,75.05285412262155,-29.67032967032971,71.21951219512196,28000.0,-1.0,9.0
29000.0,1.984375,-5.133592316673861E-13,29000.0,87.4,72.65209558743733,-8.620689655172423,66.92913385826772,29000.0,-1.0,9.0
30000.0,2.046875,-5.295280263655715E-13,30000.0,88.0,74.33440558483333,-11.111111111111123,69.6969696969697,30000.0,-1.0,9.0
31000.0,2.109375,-5.456968210637569E-13,31000.0,87.1,71.8571652966124,13.42281879194632,65.96306068601582,31000.0,-1.0,9.0
32000.0,2.1875,-5.659078144364887E-13,32000.0,85.0,69.25284411191966,-4.16666666666667,64.20047732696898,32000.0,-1.0,9.0
