learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0625,-1.616879469818539E-14,1000.0,94.89999999999999,89.79877585310237,63.57142857142855,89.59183673469386,1000.0,-1.0,10.0
2000.0,0.09375,-2.4253192047278085E-14,2000.0,98.7,96.89586337978395,90.71428571428571,95.63758389261746,2000.0,-1.0,10.0
3000.0,0.140625,-3.637978807091713E-14,3000.0,96.2,92.16284777363003,79.56989247311826,90.75425790754257,3000.0,-1.0,10.0
4000.0,0.1875,-4.8506384094556176E-14,4000.0,98.3,96.4417578553428,89.94082840236686,95.65217391304347,4000.0,-1.0,10.0
5000.0,0.234375,-6.063298011819522E-14,5000.0,96.5,92.31316600925933,78.12499999999999,90.11299435028248,5000.0,-1.0,10.0
6000.0,0.28125,-7.275957614183426E-14,6000.0,96.89999999999999,93.60059452541182,79.60526315789473,92.58373205741626,6000.0,-1.0,10.0
7000.0,0.328125,-8.48861721654733E-14,7000.0,96.1,92.00288716278841,79.5811518324607,90.73634204275534,7000.0,-1.0,10.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,97.1,94.17904456041751,83.0409356725146,94.53860640301318,8000.0,-1.0,10.0
9000.0,0.40625,-1.0509716553820505E-13,9000.0,96.6,93.18298472988579,80.23255813953487,92.82700421940928,9000.0,-1.0,10.0
10000.0,0.453125,-1.1722376156184408E-13,10000.0,97.39999999999999,94.80093583155032,81.8181818181818,94.65020576131687,10000.0,-1.0,10.0
11000.0,0.5,-1.2935035758548313E-13,11000.0,97.2,94.38848517157206,84.35754189944133,94.38877755511021,11000.0,-1.0,10.0
12000.0,0.53125,-1.3743475493457582E-13,12000.0,96.39999999999999,92.73628267159523,73.91304347826086,91.98218262806235,12000.0,-1.0,10.0
13000.0,0.578125,-1.4956135095821487E-13,13000.0,97.39999999999999,94.80068630940715,81.8181818181818,94.73684210526315,13000.0,-1.0,10.0
