     SEAFD_A   69.35,   90.38,   57.77,   73.43,  -66.71,   67.90,   72.13
     SEAFD_G   67.67,   81.86,   55.87,   76.60,  -63.17,   66.30,   71.04
       SEA_A   72.04,   99.00,   56.97,   88.41,  -67.31,   68.93,   76.53
       SEA_G   72.00,   99.00,   56.22,   88.31,  -64.16,   71.23,   75.52
       AGR_A      -?,      -?,      -?,      -?,      -?,      -?,      -?
       AGR_G      -?,      -?,      -?,      -?,      -?,      -?,      -?
       HYPER   64.78,   96.24,   48.50,   88.94,   -2.90,   79.79,   63.86
       RBF_M   56.72,   50.36,   20.70,   62.39,  -10.72,   37.90,   72.76
       RBF_F   21.28,   83.71,   22.77,   61.94,  -10.72,   33.98,   52.47
       LED_A   57.54,   65.44,   42.56,   60.17,   -2.15,   69.74,   66.38
       LED_G   61.71,   63.44,   41.27,   59.15,   -2.26,   68.96,   64.89
     weather   24.64,   95.59,   15.83,   88.96,   -2.10,    3.55,   31.20
 elecNormNew   70.31,   94.67,   71.14,   94.05,   64.32,   50.74,   71.34
