     SEAFD_A    5.25,    3.31,    8.83,    6.31,    0.55,   12.53,   10.36
     SEAFD_G    4.91,    3.41,    9.17,    6.00,    0.53,   11.19,   10.23
       SEA_A    1.91,    1.84,    4.56,    4.62,    0.17,    8.50,    6.77
       SEA_G    1.94,    1.75,    4.58,    4.66,    0.16,    3.33,    6.70
       AGR_A    3.98,    3.42,   14.84,    7.97,    0.20,    3.41,   17.03
       AGR_G    3.94,    3.12,   15.09,    8.00,    0.22,    3.20,   16.95
       HYPER    4.50,    3.03,    6.84,    5.30,    0.45,    4.67,   10.78
       RBF_M    6.23,    3.56,    8.25,    6.11,    0.47,   15.72,   10.39
       RBF_F    5.95,    3.64,    8.27,    6.09,    0.45,    9.25,   11.02
       LED_A    4.23,    4.73,    9.44,   12.77,    0.27,   16.03,    6.47
       LED_G    4.23,    4.69,    9.33,   12.91,    0.30,   14.72,    6.09
     weather    0.53,    0.33,    0.94,    0.78,    0.03,    0.67,    1.70
 elecNormNew    1.77,    0.86,    3.08,    2.00,    0.06,    0.89,    4.66
