learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.161294275,-4.17269442954825E-14,1000.0,74.0,34.85015535732184,20.24539877300612,20.24539877300612,1000.0,-1.0
2000.0,0.291942827,-7.552581813393368E-14,2000.0,79.60000000000001,41.210713482919424,35.44303797468354,25.274725274725295,2000.0,-1.0
3000.0,0.416425756,-1.077296408928103E-13,3000.0,80.7,42.4361727511334,34.353741496598666,27.985074626865696,3000.0,-1.0
4000.0,0.543021994,-1.4048017820136413E-13,4000.0,78.5,42.90721758988795,34.451219512195124,31.30990415335463,4000.0,-1.0
5000.0,0.704647321,-1.8229276588600543E-13,5000.0,78.0,42.29841163264023,36.41618497109827,28.104575163398714,5000.0,-1.0
6000.0,0.849278065,-2.1970884279451437E-13,6000.0,77.9,43.42501382375229,30.283911671924287,27.30263157894739,6000.0,-1.0
7000.0,0.977566383,-2.528971224091947E-13,7000.0,80.7,49.852936591246895,32.75261324041814,32.51748251748254,7000.0,-1.0
8000.0,1.135712123,-2.938095384484364E-13,8000.0,76.6,41.69822603149292,29.51807228915662,26.874999999999993,8000.0,-1.0
9000.0,1.273319042,-3.2940854680620964E-13,9000.0,77.4,40.326881947561596,33.33333333333333,29.15360501567398,9000.0,-1.0
10000.0,1.40356319,-3.6310280104064283E-13,10000.0,79.5,43.926562944484594,31.89368770764122,28.819444444444464,10000.0,-1.0
11000.0,1.527892565,-3.9526689926990206E-13,11000.0,81.5,47.78436353372846,35.3146853146853,30.188679245283,11000.0,-1.0
12000.0,1.665202947,-4.3078919329370065E-13,12000.0,80.60000000000001,43.92058692598096,36.184210526315816,24.51361867704282,12000.0,-1.0
13000.0,1.800286198,-4.657353269350198E-13,13000.0,77.2,43.432178158866265,33.137829912023456,31.736526946107784,13000.0,-1.0
14000.0,1.929741159,-4.992254179281494E-13,14000.0,76.6,47.651006711409394,28.44036697247706,40.60913705583757,14000.0,-1.0
15000.0,2.062232271,-5.335009633563459E-13,15000.0,80.5,50.0230662771029,34.56375838926177,37.09677419354841,15000.0,-1.0
16000.0,2.197927346,-5.686053763040239E-13,16000.0,78.2,52.39925236256923,38.24362606232295,45.226130653266345,16000.0,-1.0
17000.0,2.332028522,-6.032974464404915E-13,17000.0,78.5,50.04321842499048,34.650455927051674,35.04531722054381,17000.0,-1.0
18000.0,2.476424912,-6.406528958015972E-13,18000.0,76.4,50.30658311434539,29.761904761904756,36.55913978494624,18000.0,-1.0
18159.0,2.502909345,-6.475044375595947E-13,18159.0,75.9,48.69240136593176,28.059701492537307,34.15300546448087,18159.0,-1.0
