learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,72.3,24.750345007443457,15.03067484662575,15.03067484662575,1000.0,-1.0,10.0
2000.0,0.0625,-1.616879469818539E-14,2000.0,76.3,30.51890941072999,24.999999999999993,13.186813186813199,2000.0,-1.0,10.0
3000.0,0.09375,-2.4253192047278085E-14,3000.0,78.3,33.05444493805223,26.190476190476208,19.02985074626867,3000.0,-1.0,10.0
4000.0,0.125,-3.233758939637078E-14,4000.0,74.9,32.27126034819589,23.47560975609755,19.80830670926516,4000.0,-1.0,10.0
5000.0,0.15625,-4.042198674546348E-14,5000.0,75.8,34.66663786959246,30.05780346820809,20.915032679738577,5000.0,-1.0,10.0
6000.0,0.1875,-4.8506384094556176E-14,6000.0,76.1,37.048275280780494,24.60567823343848,21.38157894736844,6000.0,-1.0,10.0
7000.0,0.21875,-5.659078144364887E-14,7000.0,78.10000000000001,40.02957445643246,23.693379790940785,23.426573426573444,7000.0,-1.0,10.0
8000.0,0.265625,-6.871737746728791E-14,8000.0,72.89999999999999,27.609787370445538,18.3734939759036,15.312499999999982,8000.0,-1.0,10.0
9000.0,0.296875,-7.680177481638061E-14,9000.0,76.9,36.89559088673987,31.858407079646017,27.58620689655172,9000.0,-1.0,10.0
10000.0,0.328125,-8.48861721654733E-14,10000.0,76.4,31.388966415480503,21.594684385382077,18.055555555555568,10000.0,-1.0,10.0
11000.0,0.359375,-9.2970569514566E-14,11000.0,78.60000000000001,34.845486375399624,25.174825174825195,19.24528301886794,11000.0,-1.0,10.0
12000.0,0.390625,-1.010549668636587E-13,12000.0,77.0,22.137890410773426,24.34210526315791,10.505836575875495,12000.0,-1.0,10.0
13000.0,0.421875,-1.091393642127514E-13,13000.0,74.3,33.6692028948102,24.63343108504398,23.05389221556885,13000.0,-1.0,10.0
14000.0,0.453125,-1.1722376156184408E-13,14000.0,74.6,44.182693998101335,22.324159021406718,35.53299492385787,14000.0,-1.0,10.0
15000.0,0.484375,-1.2530815891093678E-13,15000.0,77.60000000000001,41.96891191709847,24.83221476510069,27.74193548387099,15000.0,-1.0,10.0
16000.0,0.515625,-1.3339255626002948E-13,16000.0,74.1,44.558134755841735,26.62889518413597,34.92462311557789,16000.0,-1.0,10.0
17000.0,0.546875,-1.4147695360912217E-13,17000.0,75.4,40.55242744254608,25.227963525835857,25.67975830815709,17000.0,-1.0,10.0
18000.0,0.578125,-1.4956135095821487E-13,18000.0,74.3,42.76883061355377,23.511904761904752,30.913978494623656,18000.0,-1.0,10.0
18159.0,0.59375,-1.5360354963276122E-13,18159.0,74.0,41.47518547864294,22.388059701492526,28.961748633879775,18159.0,-1.0,10.0
