learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.03125,-8.084397349092695E-15,1000.0,73.1,39.22002801753355,17.4846625766871,17.4846625766871,1000.0,-1.0,10.0
2000.0,0.046875,-1.2126596023639042E-14,2000.0,80.5,51.15377293267739,38.29113924050633,28.57142857142859,2000.0,-1.0,10.0
3000.0,0.046875,-1.2126596023639042E-14,3000.0,92.9,80.24529225838046,75.85034013605444,73.50746268656718,3000.0,-1.0,10.0
4000.0,0.0625,-1.616879469818539E-14,4000.0,94.8,87.33603822568152,84.14634146341461,83.38658146964855,4000.0,-1.0,10.0
5000.0,0.0625,-1.616879469818539E-14,5000.0,99.5,98.81737419226657,98.55491329479769,98.36601307189542,5000.0,-1.0,10.0
6000.0,0.0625,-1.616879469818539E-14,6000.0,100.0,100.0,100.0,100.0,6000.0,-1.0,10.0
7000.0,0.078125,-2.021099337273174E-14,7000.0,99.9,99.75488994558557,99.65156794425087,99.65034965034964,7000.0,-1.0,10.0
8000.0,0.078125,-2.021099337273174E-14,8000.0,99.9,99.77003035599301,99.69879518072288,99.6875,8000.0,-1.0,10.0
9000.0,0.09375,-2.4253192047278088E-14,9000.0,100.0,100.0,100.0,100.0,9000.0,-1.0,10.0
10000.0,0.09375,-2.4253192047278088E-14,10000.0,100.0,100.0,100.0,100.0,10000.0,-1.0,10.0
11000.0,0.09375,-2.4253192047278088E-14,11000.0,99.7,99.22708301128459,98.95104895104895,98.86792452830188,11000.0,-1.0,10.0
12000.0,0.109375,-2.8295390721824436E-14,12000.0,99.8,99.47496915443782,99.3421052631579,99.22178988326849,12000.0,-1.0,10.0
13000.0,0.109375,-2.8295390721824436E-14,13000.0,99.9,99.77505646082832,99.70674486803519,99.7005988023952,13000.0,-1.0,10.0
14000.0,0.109375,-2.8295390721824436E-14,14000.0,99.8,99.58080418525101,99.38837920489296,99.49238578680203,14000.0,-1.0,10.0
15000.0,0.125,-3.233758939637078E-14,15000.0,100.0,100.0,100.0,100.0,15000.0,-1.0,10.0
16000.0,0.125,-3.233758939637078E-14,16000.0,99.9,99.79122650254286,99.71671388101983,99.74874371859298,16000.0,-1.0,10.0
17000.0,0.140625,-3.637978807091713E-14,17000.0,100.0,100.0,100.0,100.0,17000.0,-1.0,10.0
18000.0,0.140625,-3.637978807091713E-14,18000.0,100.0,100.0,100.0,100.0,18000.0,-1.0,10.0
18159.0,0.140625,-3.637978807091713E-14,18159.0,100.0,100.0,100.0,100.0,18159.0,-1.0,10.0
