learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.078125,-2.021099337273174E-13,1000.0,0.0,68.78,0.8162243700246968,15.512380373848812,3.5285131642064047,4.233128834355813,2.5037557362720793,4.233128834355813,2.5037557362720793
2000.0,0.1875,-4.850638409455616E-13,2000.0,0.0,74.72999999999999,1.045678939466816,26.901846988504026,3.652108977920064,20.03164556962024,3.309110567932964,7.435897435897443,3.8303257855927346
3000.0,0.296875,-7.680177481638058E-13,3000.0,0.0,74.85,1.223156208793919,19.025573329867697,5.376379563366561,14.455782312925182,4.1603952680065275,6.156716417910454,4.564015704454922
4000.0,0.40625,-1.05097165538205E-12,4000.0,0.0,73.89999999999999,1.2337837015547846,29.431346654277178,5.788979104131551,20.426829268292675,3.761535675471904,16.61341853035142,3.941800963433816
5000.0,0.5,-1.2935035758548303E-12,5000.0,0.0,74.19000000000001,1.1503139668030773,29.932534409213027,5.52737714000012,25.404624277456637,3.324606840471314,15.65359477124184,3.759195969944687
6000.0,0.609375,-1.5764574830730745E-12,6000.0,0.0,73.41999999999999,1.2016655108639864,29.204418195666292,4.75857366411432,16.151419558359603,3.79074293647945,12.56578947368422,3.9528470752104763
7000.0,0.71875,-1.8594113902913186E-12,7000.0,0.0,76.49,0.9562077877393297,35.203133382905044,4.164138531620325,18.083623693379803,3.331734452053399,17.79720279720281,3.343383873214424
8000.0,0.828125,-2.1423652975095627E-12,8000.0,0.0,72.06,1.537096830608491,28.11573080463682,4.555864453571151,15.84337349397589,4.62980973074847,12.687499999999977,4.803427595651538
9000.0,0.921875,-2.384897217982345E-12,9000.0,0.0,74.38999999999999,1.2784104713797322,31.740643078269596,4.636893867593629,24.454277286135685,3.771122334453473,19.717868338557977,4.007556336613565
10000.0,1.03125,-2.6678511252005893E-12,10000.0,0.0,74.95,0.7619419633774999,29.316952795477476,2.098218743423121,16.777408637873766,2.531368649094677,13.020833333333345,2.6456318172829785
11000.0,1.125,-2.9103830456733717E-12,11000.0,0.0,76.41999999999999,1.3886844293951197,27.667844039466537,7.564408631694874,17.552447552447568,4.855539962919997,11.018867924528312,5.2403186014910155
12000.0,1.21875,-3.152914966146154E-12,12000.0,0.0,75.82000000000001,1.2053584068188559,18.115131365386883,7.816521528121416,20.46052631578949,3.9649947592725527,5.914396887159538,4.690110532369091
13000.0,1.328125,-3.4358688733643983E-12,13000.0,0.0,73.24999999999999,1.9120959994495892,32.243600840371656,6.861712833002118,21.55425219941348,5.607319646479731,19.910179640718553,5.724838321705352
14000.0,1.4375,-3.718822780582644E-12,14000.0,0.0,72.88,2.040043572519416,41.11292461072373,4.4151741678771215,17.06422018348622,6.238665359386597,31.167512690355327,5.1777755647700925
15000.0,1.546875,-4.001776687800892E-12,15000.0,0.0,76.57,1.5340940142130912,40.59028267827013,4.4387621893101175,21.375838926174513,5.14796649064797,24.419354838709694,4.9486903684293395
16000.0,1.640625,-4.24430860827367E-12,16000.0,0.0,74.33,3.3846220862404537,44.55902979101097,8.207584154504987,27.280453257790366,9.588164550256238,35.502512562814076,8.504075593568974
17000.0,1.75,-4.5272625154919184E-12,17000.0,0.0,71.38,2.665332999833227,36.06691870964024,4.4009853981644325,13.00911854103342,8.101316108915588,13.534743202416907,8.052365558408544
18000.0,1.859375,-4.8102164227101666E-12,18000.0,0.0,71.23,1.3466419139639363,37.880178908908526,2.674738238807753,14.374999999999982,4.007862839178377,22.661290322580633,3.6200051450643382
18159.0,1.875,-4.850638409455628E-12,18159.0,0.0,70.81,1.5029230777979907,36.37975786240362,3.350885039970297,12.865671641791026,4.486337545665634,20.245901639344257,4.106347207098327
