learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.044124468,-1.1415031428138415E-14,1000.0,65.7,28.04457460288158,-5.2147239263803735,-5.2147239263803735,1000.0,-1.0
2000.0,0.0630455,-1.630991593831115E-14,2000.0,67.0,25.08955203552118,-4.430379746835448,-20.879120879120855,2000.0,-1.0
3000.0,0.075608512,-1.9559976127412584E-14,3000.0,66.7,26.51212880901099,-13.265306122448953,-24.25373134328356,3000.0,-1.0
4000.0,0.087946575,-2.275184184933702E-14,4000.0,65.10000000000001,23.190689567138826,-6.402439024390251,-11.50159744408947,4000.0,-1.0
5000.0,0.098910533,-2.5588225625041457E-14,5000.0,67.80000000000001,18.530513105960956,6.936416184971105,-5.228758169934608,5000.0,-1.0
6000.0,0.108150234,-2.797854288170735E-14,6000.0,69.1,19.111641641012746,2.5236593059936583,-1.6447368421052644,6000.0,-1.0
7000.0,0.115569533,-2.9897920839074584E-14,7000.0,70.1,24.65705099130155,-4.18118466898955,-4.545454545454549,7000.0,-1.0
8000.0,0.122261272,-3.162907850411203E-14,8000.0,62.6,11.273486430062633,-12.650602409638568,-16.875000000000018,8000.0,-1.0
9000.0,0.129884989,-3.360133954427308E-14,9000.0,65.4,13.9085041478186,-2.064896755162244,-8.463949843260197,9000.0,-1.0
10000.0,0.135681524,-3.5100907294286616E-14,10000.0,71.7,17.00879765395893,5.980066445182729,1.7361111111111125,10000.0,-1.0
11000.0,0.141497777,-3.6605576105001895E-14,11000.0,75.2,26.59464259286668,13.286713286713297,6.415094339622647,11000.0,-1.0
12000.0,0.14729493,-3.8105303732057406E-14,12000.0,73.7,5.526179665498039,13.486842105263166,-2.3346303501945544,12000.0,-1.0
13000.0,0.153253798,-3.964686714526679E-14,13000.0,67.30000000000001,3.154727352422051,4.105571847507336,2.095808383233535,13000.0,-1.0
14000.0,0.158833478,-4.1090334351691926E-14,14000.0,64.8,13.99194651862858,-7.6452599388379285,10.659898477157368,14000.0,-1.0
15000.0,0.164370751,-4.252283083688881E-14,15000.0,72.7,20.773115096639405,8.389261744966449,11.93548387096775,15000.0,-1.0
16000.0,0.169981057,-4.397422101141677E-14,16000.0,64.7,17.44234996959633,0.0,11.306532663316593,16000.0,-1.0
17000.0,0.175391115,-4.537380688513318E-14,17000.0,67.9,13.450027501860404,2.4316109422492427,3.0211480362537793,17000.0,-1.0
18000.0,0.181262578,-4.6892758562333045E-14,18000.0,64.9,14.3133348957113,-4.464285714285719,5.645161290322586,18000.0,-1.0
18159.0,0.182412065,-4.7190131671312774E-14,18159.0,64.3,13.650480364554621,-6.567164179104484,2.4590163934426252,18159.0,-1.0
