learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.020255916,-2.6201099778215088E-14,1000.0,69.1,36.11003134536972,5.21472392638034,5.21472392638034,1000.0,-5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.032116233,-4.154246222848693E-14,2000.0,68.30000000000001,28.26236512419439,-0.316455696202532,-16.117216117216092,2000.0,-5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.047851569,-9.853285970166326E-14,3000.0,73.0,17.99494605889787,8.163265306122454,-0.7462686567164185,3000.0,-14.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.067162305,-2.1343398761625092E-13,4000.0,76.5,39.750387135810314,28.353658536585364,24.920127795527147,4000.0,-23.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.081636657,-2.995580675390859E-13,5000.0,76.6,40.56206945601594,32.369942196531795,23.5294117647059,5000.0,-23.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.098440739,-4.1693322438125806E-13,6000.0,74.7,41.03223881710205,20.18927444794951,16.7763157894737,6000.0,-27.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.114663831,-5.134625109429989E-13,7000.0,77.10000000000001,43.27470894228389,20.20905923344949,19.930069930069948,7000.0,-23.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.137312462,-7.771272776234481E-13,8000.0,71.1,28.698312444488277,12.951807228915643,9.687499999999975,8000.0,-45.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
9000.0,0.152709736,-9.404419952382644E-13,9000.0,75.0,34.861567803896854,26.25368731563421,21.630094043887134,9000.0,-41.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
10000.0,0.170071459,-1.165016503073275E-12,10000.0,73.8,31.73954729250905,12.956810631229246,9.027777777777784,10000.0,-50.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
11000.0,0.184459191,-1.3511223309776848E-12,11000.0,77.3,40.507390711814665,20.629370629370644,14.339622641509445,11000.0,-50.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
12000.0,0.198020325,-1.5265360841941501E-12,12000.0,73.1,29.293141697595438,11.51315789473685,-4.669260700389109,12000.0,-50.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
13000.0,0.210645102,-1.6898380261328484E-12,13000.0,74.7,37.995667048985865,25.80645161290322,24.251497005988014,13000.0,-50.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
14000.0,0.233268349,-2.0878182382633286E-12,14000.0,73.4,41.545655919271475,18.654434250764513,32.48730964467005,14000.0,-68.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
15000.0,0.247092188,-2.3310023566914927E-12,15000.0,78.7,47.15951376829574,28.523489932885926,31.290322580645185,15000.0,-68.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
16000.0,0.260956503,-2.5748985146896705E-12,16000.0,75.3,46.8016368727116,30.028328611898015,37.93969849246231,16000.0,-68.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
17000.0,0.278384952,-2.8995286745743618E-12,17000.0,72.39999999999999,43.4623184546367,16.109422492401198,16.616314199395752,17000.0,-72.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
18000.0,0.304751317,-3.4179244832032255E-12,18000.0,63.4,30.769929181042304,-8.928571428571438,1.6129032258064528,18000.0,-76.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
18159.0,0.307439468,-3.421401616134163E-12,18159.0,63.1,29.632257031053356,-10.149253731343293,-0.8196721311475417,18159.0,-5.0,0.0,-7.0,-7.0,0.0,0.0,0.0,1.0
