learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.010214257,-2.642435590840048E-15,1000.0,69.19999999999999,27.381783201614557,5.5214723926380085,5.5214723926380085,1000.0,-1.0,750.0,353.5533905932738,-7.5,4.949747468305833,2.0,1.4142135623730951,1.5,0.7071067811865476,1.5,0.7071067811865476,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.030415541,-7.868522209011846E-15,2000.0,74.1,25.458187511512243,18.037974683544288,5.128205128205132,2000.0,-1.0,1250.0,645.4972243679028,-12.75,6.701989754294367,3.5,1.914854215512676,2.25,0.957427107756338,2.25,0.957427107756338,1.25,0.9574271077563381,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.059976125,-1.5515866430683268E-14,3000.0,77.5,34.874727921085544,23.46938775510206,16.044776119402997,3000.0,-1.0,1750.0,935.4143466934853,-16.833333333333332,10.30372101071582,4.666666666666667,2.9439202887759492,2.8333333333333335,1.4719601443879746,2.8333333333333335,1.4719601443879746,1.5,1.0488088481701516,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.104398523,-2.700797256289257E-14,4000.0,76.3,37.31419079761741,27.74390243902439,24.2811501597444,4000.0,-1.0,2250.0,1224.744871391589,-26.749999999999996,16.20185174601965,7.5,4.6291004988627575,4.25,2.3145502494313788,4.25,2.3145502494313788,2.125,1.246423454758225,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.154658477,-4.0010258607152434E-14,5000.0,76.0,38.18511497568613,30.635838150289015,21.568627450980408,5000.0,-1.0,2750.0,1513.8251770487457,-31.3,16.316658154577283,8.799999999999999,4.661902329879223,4.8999999999999995,2.3309511649396115,4.8999999999999995,2.3309511649396115,2.6,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.201124796,-5.203112856381469E-14,6000.0,76.3,41.67044044970369,25.2365930599369,22.03947368421054,6000.0,-1.0,3550.0,1832.575600987128,-32.7,16.970890109570302,9.2,4.8488257455915145,5.1,2.4244128727957572,5.1,2.4244128727957572,2.6,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.261054218,-6.753491289499733E-14,7000.0,79.80000000000001,48.3756210259451,29.61672473867598,29.37062937062939,7000.0,-1.0,4450.0,2033.7431281042134,-42.5,20.13978925190408,12.0,5.754225500544023,6.5,2.8771127502720115,6.5,2.8771127502720115,3.5,1.5811388300841898,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.317746124,-8.220114952160252E-14,8000.0,74.4,35.4057327412192,22.89156626506023,19.999999999999986,8000.0,-1.0,5150.0,2560.9243123008014,-48.8,24.95685165329241,13.799999999999999,7.130529043797834,7.3999999999999995,3.565264521898917,7.3999999999999995,3.565264521898917,3.6,1.776388345929897,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.365712706,-9.461013858930933E-14,9000.0,74.9,31.4320056821286,25.958702064896748,21.31661442006268,9000.0,-1.0,6000.0,2857.738033247041,-55.1,26.201993138775613,15.600000000000001,7.48628375393589,8.3,3.743141876967945,8.3,3.743141876967945,3.8999999999999995,1.728840330651992,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.425186715,-1.0999610725169381E-13,10000.0,78.3,40.91829844699529,27.906976744186068,24.652777777777796,10000.0,-1.0,6150.0,3528.062105777366,-58.6,35.04663559696803,16.6,10.01332445627658,8.8,5.00666222813829,8.8,5.00666222813829,3.8,2.0976176963403033,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.487903486,-1.2622098076260753E-13,11000.0,79.2,37.389000933144715,27.272727272727295,21.50943396226417,11000.0,-1.0,7000.0,3793.268892247014,-66.30000000000001,36.06491061652279,18.8,10.304260176149366,9.9,5.152130088074683,9.9,5.152130088074683,4.199999999999999,1.988857852023506,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.5350097,-1.384073920134041E-13,12000.0,78.10000000000001,31.80799123156639,27.960526315789497,14.785992217898848,12000.0,-1.0,7900.0,3991.6579679793876,-72.6,38.4540129389783,20.6,10.986860839708088,10.8,5.493430419854044,10.8,5.493430419854044,4.3999999999999995,2.065591117977289,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.585940535,-1.515832354521586E-13,13000.0,78.5,46.25913594688902,36.950146627565985,35.628742514970064,13000.0,-1.0,8550.0,4609.470926497121,-77.5,41.64199269434108,22.0,11.897712198383164,11.5,5.948856099191582,11.5,5.948856099191582,4.600000000000001,2.319003617456812,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.641460193,-1.6594621068280604E-13,14000.0,76.7,48.82135357635503,28.74617737003058,40.862944162436555,14000.0,-1.0,9350.0,4989.154905058237,-85.89999999999999,46.20353521827811,24.4,13.201010062365178,12.7,6.600505031182589,12.7,6.600505031182589,4.800000000000001,2.4404006956964173,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.702932647,-1.8184917849592036E-13,15000.0,81.0,52.90968573411323,36.24161073825506,38.70967741935487,15000.0,-1.0,10150.0,5375.096898351384,-94.3,49.98455316950984,26.8,14.28130090557424,13.9,7.14065045278712,13.9,7.14065045278712,5.3,2.496664441476534,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.758014819,-1.9609897578549054E-13,16000.0,78.2,53.02695993932291,38.24362606232295,45.226130653266345,16000.0,-1.0,11000.0,5671.566509057851,-100.6,51.94484254155235,28.599999999999998,14.841383583300672,14.799999999999999,7.420691791650336,14.799999999999999,7.420691791650336,5.6000000000000005,2.590581230363393,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.811957259,-2.1005392359155748E-13,17000.0,76.3,48.56681539610063,27.963525835866253,28.398791540785496,17000.0,-1.0,11050.0,6808.695420808111,-99.19999999999999,62.62729259498432,28.2,17.89351216999552,14.6,8.94675608499776,14.6,8.94675608499776,5.2,2.973961069759395,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.872751909,-2.2578154302512607E-13,18000.0,74.3,46.4904390698914,23.511904761904752,30.913978494623656,18000.0,-1.0,10500.0,7641.2622575651,-97.10000000000001,70.85423221108407,27.6,20.244066346024017,14.3,10.122033173012008,14.3,10.122033173012008,4.800000000000001,2.9739610697593952,0.0,0.0,0.0,0.0,1.0,0.0
18159.0,0.882662447,-2.283454062934551E-13,18159.0,73.7,44.76507304451557,21.492537313432823,28.142076502732237,18159.0,-1.0,10659.0,7641.2622575651,-97.80000000000001,69.93775009884781,27.8,19.982214313956522,14.4,9.991107156978261,14.4,9.991107156978261,4.9,2.8460498941515415,0.0,0.0,0.0,0.0,1.0,0.0
