learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.0625,-1.616879469818539E-14,1000.0,75.1,42.47243759761203,23.61963190184048,23.61963190184048,1000.0,-1.0,124.0,127.38393409950356,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.15625,-4.042198674546348E-14,2000.0,76.8,39.76185159605129,26.58227848101265,15.018315018315032,2000.0,-1.0,200.0,210.55482263138342,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.234375,-6.063298011819522E-14,3000.0,76.4,35.09065305403977,19.727891156462597,11.940298507462696,3000.0,-1.0,172.0,109.11767348448494,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.3125,-8.084397349092696E-14,4000.0,75.3,40.76340857419683,24.695121951219505,21.08626198083066,4000.0,-1.0,114.0,87.33078876700168,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.40625,-1.0509716553820505E-13,5000.0,73.2,33.880708956696814,22.54335260115606,12.41830065359478,5000.0,-1.0,120.0,83.53309390761112,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.484375,-1.2530815891093678E-13,6000.0,71.8,32.48419842941965,11.041009463722375,7.236842105263164,6000.0,-1.0,124.0,111.57458890306918,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.5625,-1.4551915228366852E-13,7000.0,77.5,41.14569709652106,21.60278745644601,21.328671328671344,7000.0,-1.0,135.0,118.43892002959913,-4.7,2.2135943621178655,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.09999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.640625,-1.6573014565640026E-13,8000.0,71.1,28.57142857142855,12.951807228915643,9.687499999999975,8000.0,-1.0,136.0,146.15060725156087,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.734375,-1.8998333770367835E-13,9000.0,76.5,44.57285721024577,30.678466076696164,26.332288401253912,9000.0,-1.0,285.0,276.73693886673914,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.8125,-2.101943310764101E-13,10000.0,75.5,36.239095584101946,18.604651162790713,14.930555555555566,10000.0,-1.0,150.0,114.98792207106894,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
