learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.0,0.0,1000.0,67.4,25.816023738872406,0.0,0.0,1000.0,-1.0
2000.0,0.0,0.0,2000.0,68.4,20.39139219331795,0.0,-15.750915750915723,2000.0,-1.0
3000.0,0.015625,-4.042198674546348E-15,3000.0,70.6,25.067286518228528,0.0,-9.701492537313442,3000.0,-1.0
4000.0,0.015625,-4.042198674546348E-15,4000.0,67.2,23.731927024475542,0.0,-4.792332268370612,4000.0,-1.0
5000.0,0.015625,-4.042198674546348E-15,5000.0,65.4,18.53609839709179,0.0,-13.071895424836574,5000.0,-1.0
6000.0,0.015625,-4.042198674546348E-15,6000.0,68.30000000000001,25.019395613752927,0.0,-4.276315789473651,6000.0,-1.0
7000.0,0.015625,-4.042198674546348E-15,7000.0,71.3,29.800702482168894,0.0,-0.3496503496503499,7000.0,-1.0
8000.0,0.015625,-4.042198674546348E-15,8000.0,66.8,23.71323529411764,0.0,-3.750000000000004,8000.0,-1.0
9000.0,0.015625,-4.042198674546348E-15,9000.0,66.10000000000001,21.910272830303416,0.0,-6.269592476489034,9000.0,-1.0
10000.0,0.015625,-4.042198674546348E-15,10000.0,69.89999999999999,26.681216750784355,0.0,-4.513888888888892,10000.0,-1.0
11000.0,0.015625,-4.042198674546348E-15,11000.0,71.39999999999999,26.581953536131437,0.0,-7.924528301886799,11000.0,-1.0
12000.0,0.015625,-4.042198674546348E-15,12000.0,69.6,20.398426821540586,0.0,-18.287937743190678,12000.0,-1.0
13000.0,0.015625,-4.042198674546348E-15,13000.0,65.9,23.29425314246124,0.0,-2.095808383233535,13000.0,-1.0
14000.0,0.03125,-8.084397349092695E-15,14000.0,67.30000000000001,31.552727424959198,0.0,17.005076142131994,14000.0,-1.0
15000.0,0.03125,-8.084397349092695E-15,15000.0,70.19999999999999,30.341280972417017,0.0,3.8709677419354867,15000.0,-1.0
16000.0,0.03125,-8.084397349092695E-15,16000.0,64.7,26.30295539763,0.0,11.306532663316593,16000.0,-1.0
17000.0,0.03125,-8.084397349092695E-15,17000.0,67.10000000000001,25.769827804050394,0.0,0.6042296072507559,17000.0,-1.0
18000.0,0.03125,-8.084397349092695E-15,18000.0,66.4,28.087117320731465,0.0,9.677419354838717,18000.0,-1.0
18159.0,0.03125,-8.084397349092695E-15,18159.0,66.5,27.857075175081192,0.0,8.469945355191264,18159.0,-1.0
