learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.078125,-2.021099337273174E-14,1000.0,74.3,36.43334157803609,21.165644171779128,21.165644171779128,1000.0,-1.0,10.0
2000.0,0.125,-3.233758939637078E-14,2000.0,76.9,32.0971686576992,26.898734177215182,15.384615384615397,2000.0,-1.0,10.0
3000.0,0.171875,-4.446418542000983E-14,3000.0,76.9,27.70043567529672,21.428571428571445,13.805970149253744,3000.0,-1.0,10.0
4000.0,0.234375,-6.063298011819522E-14,4000.0,73.5,29.489772025798764,19.207317073170717,15.335463258785923,4000.0,-1.0,10.0
5000.0,0.28125,-7.275957614183426E-14,5000.0,72.6,21.766143584823766,20.80924855491328,10.457516339869288,5000.0,-1.0,10.0
6000.0,0.34375,-8.892837084001965E-14,6000.0,73.5,28.878153515834683,16.40378548895897,12.828947368421062,6000.0,-1.0,10.0
7000.0,0.40625,-1.0509716553820505E-13,7000.0,76.3,33.22213080572994,17.421602787456457,17.132867132867148,7000.0,-1.0,10.0
8000.0,0.453125,-1.1722376156184408E-13,8000.0,71.6,25.215925847903907,14.457831325301186,11.249999999999977,8000.0,-1.0,10.0
9000.0,0.5,-1.2935035758548313E-13,9000.0,73.1,29.310979134913538,20.64896755162241,15.673981191222552,9000.0,-1.0,10.0
10000.0,0.578125,-1.4956135095821487E-13,10000.0,74.6,22.72683021806853,15.614617940199347,11.805555555555564,10000.0,-1.0,10.0
11000.0,0.625,-1.6168794698185392E-13,11000.0,74.5,22.02788649706458,10.839160839160849,3.7735849056603805,11000.0,-1.0,10.0
12000.0,0.6875,-1.778567416800393E-13,12000.0,75.3,11.582353699222514,18.750000000000014,3.891050583657591,12000.0,-1.0,10.0
13000.0,0.734375,-1.8998333770367835E-13,13000.0,73.1,34.606520872431666,21.114369501466264,19.461077844311365,13000.0,-1.0,10.0
14000.0,0.796875,-2.0615213240186375E-13,14000.0,72.5,41.13113841674872,15.902140672782858,30.203045685279186,14000.0,-1.0,10.0
15000.0,0.84375,-2.182787284255028E-13,15000.0,77.5,42.6693166182541,24.49664429530203,27.419354838709697,15000.0,-1.0,10.0
16000.0,0.90625,-2.3444752312368816E-13,16000.0,70.89999999999999,38.51367912169643,17.563739376770524,26.88442211055276,16000.0,-1.0,10.0
17000.0,0.96875,-2.5061631782187356E-13,17000.0,72.1,30.826217607330932,15.197568389057734,15.70996978851962,17000.0,-1.0,10.0
18000.0,1.015625,-2.627429138455126E-13,18000.0,71.0,35.01254930082466,13.690476190476172,22.04301075268816,18000.0,-1.0,10.0
18159.0,1.03125,-2.667851125200589E-13,18159.0,70.6,33.17695832424176,12.238805970149233,19.672131147540973,18159.0,-1.0,10.0
