learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.057315247,-1.4827495389100578E-14,1000.0,70.7,20.554007006431593,10.122699386503044,10.122699386503044,1000.0,-1.0,10.0
2000.0,0.098211071,-2.5407274305406544E-14,2000.0,77.4,36.36921621515089,28.481012658227844,17.21611721611723,2000.0,-1.0,10.0
3000.0,0.153134663,-3.961604683556491E-14,3000.0,78.0,31.441962504986037,25.170068027210903,17.910447761194046,3000.0,-1.0,10.0
4000.0,0.198758814,-5.1419047328333064E-14,4000.0,75.7,35.214511949323345,25.914634146341452,22.364217252396156,4000.0,-1.0,10.0
5000.0,0.248569734,-6.430516795565685E-14,5000.0,75.7,34.327874168963845,29.76878612716763,20.588235294117663,5000.0,-1.0,10.0
6000.0,0.285316142,-7.381148998522096E-14,6000.0,75.3,34.2623544190602,22.082018927444782,18.750000000000014,6000.0,-1.0,10.0
7000.0,0.326928798,-8.457671385258437E-14,7000.0,78.9,41.67339311580183,26.48083623693382,26.223776223776245,7000.0,-1.0,10.0
8000.0,0.364771916,-9.436675554348363E-14,8000.0,74.0,31.275111017128353,21.686746987951796,18.749999999999986,8000.0,-1.0,10.0
9000.0,0.406364441,-1.0512677150674992E-13,9000.0,77.2,38.021583711637255,32.743362831858406,28.526645768025073,9000.0,-1.0,10.0
10000.0,0.447359286,-1.1573216722657281E-13,10000.0,77.9,36.7631910266682,26.578073089701014,23.263888888888907,10000.0,-1.0,10.0
11000.0,0.492998726,-1.2753912299457523E-13,11000.0,80.2,42.19821923806745,30.769230769230795,25.28301886792455,11000.0,-1.0,10.0
12000.0,0.538975201,-1.3943326995811527E-13,12000.0,80.0,37.818292614678626,34.210526315789494,22.178988326848266,12000.0,-1.0,10.0
13000.0,0.583678823,-1.509981289402478E-13,13000.0,76.9,40.78562859515827,32.25806451612903,30.83832335329341,13000.0,-1.0,10.0
14000.0,0.62675898,-1.6214299636582532E-13,14000.0,74.3,41.308657087265125,21.406727828746167,34.77157360406091,14000.0,-1.0,10.0
15000.0,0.677405269,-1.7524522755088075E-13,15000.0,78.4,42.57151972774649,27.516778523489954,30.322580645161313,15000.0,-1.0,10.0
16000.0,0.729653893,-1.8876198394637966E-13,16000.0,75.9,46.54375426984536,31.728045325779036,39.447236180904525,16000.0,-1.0,10.0
17000.0,0.782785803,-2.0250724706177908E-13,17000.0,78.60000000000001,47.945298779390235,34.954407294832826,35.34743202416919,17000.0,-1.0,10.0
18000.0,0.823085054,-2.1293269211633336E-13,18000.0,76.4,47.53503592516184,29.761904761904756,36.55913978494624,18000.0,-1.0,10.0
18159.0,0.837577259,-2.166818359142376E-13,18159.0,76.1,46.42841132220957,28.656716417910445,34.69945355191257,18159.0,-1.0,10.0
