learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.5625,-1.455191522836685E-12,1000.0,0.0,88.72000000000001,1.088117640698834,77.44000000000001,2.176235281397673,88.72000000000001,1.088117640698834,0.0,0.0
2000.0,0.90625,-2.3444752312368822E-12,2000.0,0.0,92.92999999999999,0.30203016773532004,85.86000000000001,0.6040603354706268,92.92999999999999,0.30203016773532004,85.86000000000001,0.6040603354706268
3000.0,1.21875,-3.152914966146153E-12,3000.0,0.0,93.66,0.2221110833194313,87.32000000000001,0.44422216663886327,93.66,0.2221110833194313,87.32000000000001,0.44422216663886327
4000.0,1.4375,-3.718822780582641E-12,4000.0,0.0,94.13,0.20575065816014584,88.25999999999999,0.4115013163202907,94.13,0.20575065816014584,88.25999999999999,0.4115013163202907
5000.0,1.609375,-4.163464634782736E-12,5000.0,0.0,95.44999999999999,0.40069384267237984,90.89999999999999,0.8013876853447564,95.44999999999999,0.40069384267237984,90.89999999999999,0.8013876853447564
6000.0,1.765625,-4.56768450223737E-12,6000.0,0.0,94.83000000000001,0.21108186931983314,89.66,0.4221637386396665,94.83000000000001,0.21108186931983314,89.66,0.4221637386396665
7000.0,1.9375,-5.012326356437465E-12,7000.0,0.0,95.29999999999998,0.21602468994693144,90.6,0.43204937989385583,95.29999999999998,0.21602468994693144,90.6,0.43204937989385583
8000.0,2.09375,-5.416546223892098E-12,8000.0,0.0,94.89999999999999,0.22607766610417077,89.8,0.45215533220835374,94.89999999999999,0.22607766610417077,89.8,0.45215533220835374
9000.0,2.265625,-5.861188078092193E-12,9000.0,0.0,94.23,0.33681514877517654,88.45999999999998,0.6736302975503516,94.23,0.33681514877517654,88.45999999999998,0.6736302975503516
10000.0,2.421875,-6.2654079455468264E-12,10000.0,0.0,95.21,0.30349812373573376,90.41999999999999,0.6069962474714691,95.21,0.30349812373573376,90.41999999999999,0.6069962474714691
11000.0,2.609375,-6.750471786492391E-12,11000.0,0.0,94.28999999999999,0.1791957340762116,88.58,0.3583914681524069,94.28999999999999,0.1791957340762116,88.58,0.3583914681524069
12000.0,2.8125,-7.275957614183418E-12,12000.0,0.0,94.60000000000001,0.42163702135578407,89.19999999999997,0.8432740427115698,94.60000000000001,0.42163702135578407,89.19999999999997,0.8432740427115698
13000.0,2.96875,-7.680177481638051E-12,13000.0,0.0,94.17999999999999,0.33266599866332114,88.36,0.6653319973266427,94.17999999999999,0.33266599866332114,88.36,0.6653319973266427
14000.0,3.140625,-8.124819335838154E-12,14000.0,0.0,95.69999999999999,0.1490711984999822,91.39999999999999,0.29814239699997497,95.69999999999999,0.1490711984999822,91.39999999999999,0.29814239699997497
15000.0,3.296875,-8.529039203292788E-12,15000.0,0.0,94.58999999999999,0.18529256146249873,89.17999999999999,0.37058512292499657,94.58999999999999,0.18529256146249873,89.17999999999999,0.37058512292499657
16000.0,3.453125,-8.933259070747421E-12,16000.0,0.0,95.17999999999998,0.3645392830531266,90.35999999999999,0.7290785661062525,95.17999999999998,0.3645392830531266,90.35999999999999,0.7290785661062525
17000.0,3.609375,-9.337478938202054E-12,17000.0,0.0,94.44999999999999,0.2549509756796359,88.89999999999999,0.5099019513592837,94.44999999999999,0.2549509756796359,88.89999999999999,0.5099019513592837
18000.0,3.75,-9.701276818911218E-12,18000.0,0.0,95.05,0.21213203435596195,90.09999999999998,0.4242640687119239,95.05,0.21213203435596195,90.09999999999998,0.4242640687119239
19000.0,3.890625,-1.0065074699620381E-11,19000.0,0.0,93.91000000000001,0.1728840330651976,87.82,0.3457680661303897,93.91000000000001,0.1728840330651976,87.82,0.3457680661303897
20000.0,4.03125,-1.0428872580329545E-11,20000.0,0.0,96.02000000000001,0.28205594401741657,92.03999999999999,0.564111888034832,96.02000000000001,0.28205594401741657,92.03999999999999,0.564111888034832
21000.0,4.1875,-1.0833092447784178E-11,21000.0,0.0,94.69,0.2726414006223796,89.38,0.5452828012447616,94.69,0.2726414006223796,89.38,0.5452828012447616
22000.0,4.34375,-1.1237312315238812E-11,22000.0,0.0,93.91999999999999,0.30477678535099395,87.84,0.609553570701989,93.91999999999999,0.30477678535099395,87.84,0.609553570701989
23000.0,4.484375,-1.1601110195947975E-11,23000.0,0.0,94.86,0.2756809750418092,89.71999999999998,0.5513619500836082,94.86,0.2756809750418092,89.71999999999998,0.5513619500836082
24000.0,4.640625,-1.2005330063402608E-11,24000.0,0.0,96.33999999999999,0.20110804171997723,92.67999999999999,0.402216083439955,96.33999999999999,0.20110804171997723,92.67999999999999,0.402216083439955
25000.0,4.75,-1.2288283970620849E-11,25000.0,0.0,94.03,0.5926400443964409,88.05951592504968,1.1845904912307146,94.02402402402402,0.5932332776741186,88.06,1.185280088792881
26000.0,5.078125,-1.3137145692275585E-11,26000.0,0.0,56.79,5.664401508054001,13.580000000000002,11.328803016108003,56.79,5.664401508054001,-43109.99999999996,5664.401508053997
27000.0,5.421875,-1.4026429400675775E-11,27000.0,0.0,64.91,7.188331594404302,29.819999999999997,14.37666318880861,64.91,7.188331594404302,29.819999999999997,14.37666318880861
28000.0,5.734375,-1.4834869135585043E-11,28000.0,0.0,73.79,6.59856044906766,47.580000000000005,13.197120898135317,73.79,6.59856044906766,47.580000000000005,13.197120898135317
29000.0,6.0625,-1.568373085723978E-11,29000.0,0.0,73.22,6.507226751850586,46.440000000000005,13.014453503701178,73.22,6.507226751850586,46.440000000000005,13.014453503701178
30000.0,6.375,-1.6492170592149047E-11,30000.0,0.0,72.83999999999999,4.695198493023363,45.68000000000001,9.39039698604673,72.83999999999999,4.695198493023363,45.68000000000001,9.39039698604673
31000.0,6.703125,-1.7341032313803783E-11,31000.0,0.0,75.35,5.189358770064411,50.699999999999996,10.378717540128827,75.35,5.189358770064411,50.699999999999996,10.378717540128827
32000.0,7.0,-1.810905006196758E-11,32000.0,0.0,74.51,5.244139586242916,49.01999999999999,10.488279172485829,74.51,5.244139586242916,49.01999999999999,10.488279172485829
33000.0,7.3125,-1.8917489796876847E-11,33000.0,0.0,73.94,5.3552051522068,47.88,10.710410304413594,73.94,5.3552051522068,47.88,10.710410304413594
