learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.59375,-1.5360354963276121E-12,1000.0,0.0,78.13000000000001,1.565637960137089,56.260000000000005,3.1312759202741787,78.13000000000001,1.565637960137089,0.0,0.0
2000.0,1.03125,-2.667851125200589E-12,2000.0,0.0,87.86,3.088401240483861,75.72,6.176802480967713,87.86,3.088401240483861,75.72,6.176802480967713
3000.0,1.515625,-3.920932714309959E-12,3000.0,0.0,91.42,2.558558622002282,82.84000000000002,5.117117244004575,91.42,2.558558622002282,82.84000000000002,5.117117244004575
4000.0,1.984375,-5.133592316673867E-12,4000.0,0.0,92.27000000000001,2.427641745489736,84.53999999999999,4.855283490979466,92.27000000000001,2.427641745489736,84.53999999999999,4.855283490979466
5000.0,2.453125,-6.346251919037775E-12,5000.0,0.0,94.25999999999999,1.6860209567697115,88.52000000000001,3.3720419135394253,94.25999999999999,1.6860209567697115,88.52000000000001,3.3720419135394253
6000.0,2.84375,-7.356801587674359E-12,6000.0,0.0,93.78999999999999,1.3843971812870557,87.57999999999998,2.7687943625741083,93.78999999999999,1.3843971812870557,87.57999999999998,2.7687943625741083
7000.0,3.3125,-8.569461190038259E-12,7000.0,0.0,93.3,2.3480488353808417,86.6,4.696097670761682,93.3,2.3480488353808417,86.6,4.696097670761682
8000.0,3.703125,-9.580010858674842E-12,8000.0,0.0,93.1,1.3589211407092991,86.20000000000002,2.717842281418595,93.1,1.3589211407092991,86.20000000000002,2.717842281418595
9000.0,4.046875,-1.0469294567075032E-11,9000.0,0.0,91.66000000000001,2.2187083329420876,83.32000000000001,4.437416665884183,91.66000000000001,2.2187083329420876,83.32000000000001,4.437416665884183
10000.0,4.40625,-1.1399000262220692E-11,10000.0,0.0,93.28999999999999,1.4161371559437432,86.58,2.832274311887485,93.28999999999999,1.4161371559437432,86.58,2.832274311887485
11000.0,4.796875,-1.2409549930857276E-11,11000.0,0.0,93.15,1.415195314356919,86.30000000000001,2.830390628713828,93.15,1.415195314356919,86.30000000000001,2.830390628713828
12000.0,5.1875,-1.3420099599493859E-11,12000.0,0.0,92.85000000000002,1.3640218310406678,85.69999999999999,2.728043662081345,92.85000000000002,1.3640218310406678,85.69999999999999,2.728043662081345
13000.0,5.5625,-1.4390227281384989E-11,13000.0,0.0,92.82000000000001,1.2908223046656047,85.64000000000003,2.5816446093312053,92.82000000000001,1.2908223046656047,85.64000000000003,2.5816446093312053
14000.0,5.9375,-1.5360354963276106E-11,14000.0,0.0,93.92,1.3306639946532903,87.83999999999999,2.6613279893065886,93.92,1.3306639946532903,87.83999999999999,2.6613279893065886
15000.0,6.265625,-1.6209216684930842E-11,15000.0,0.0,92.82000000000001,1.4374359889129722,85.64000000000001,2.8748719778259395,92.82000000000001,1.4374359889129722,85.64000000000001,2.8748719778259395
16000.0,6.703125,-1.7341032313803835E-11,16000.0,0.0,93.66999999999999,1.0801748829600544,87.3380326702844,2.1616492424430773,93.66366366366367,1.0812561390991553,70.42056074766356,5.047546182056335
17000.0,7.0625,-1.827073800894951E-11,17000.0,0.0,93.16999999999999,1.1681419244062548,86.34256549853465,2.3347559469254016,93.16316316316315,1.1693112356418975,85.08733624454148,2.5505282192276284
18000.0,7.421875,-1.9200443704095187E-11,18000.0,0.0,92.72,3.390116353296577,85.44,6.7802327065931545,92.72,3.390116353296577,85.44,6.7802327065931545
19000.0,7.921875,-2.0493947279950026E-11,19000.0,0.0,89.75,8.540654411564596,79.5,17.081308823129195,89.68812877263582,8.592207657509656,70.11661807580177,24.899867089109613
20000.0,8.265625,-2.1383230988350233E-11,20000.0,0.0,91.99999999999999,5.063376124462588,83.99689592237172,10.131645024350659,91.9436052366566,5.099069611744796,69.23076923076923,19.474523555625325
21000.0,8.703125,-2.2515046617223225E-11,21000.0,0.0,90.01,2.916028501613493,80.02000000000001,5.832057003226987,89.76434426229508,2.987734120505633,77.13958810068651,6.672834099802043
22000.0,9.21875,-2.3848972179823535E-11,22000.0,0.0,88.82000000000001,2.2904633204271647,77.64,4.580926640854325,88.25630252100841,2.405948865994923,71.40664961636828,5.857962456335457
23000.0,9.609375,-2.4859521848460118E-11,23000.0,0.0,86.50000000000001,2.9461839725312466,72.99985465343622,5.893509028966876,85.01664816870144,3.26990452001248,67.31234866828088,7.133617366903751
24000.0,10.078125,-2.6072181450824018E-11,24000.0,0.0,78.50999999999999,3.5955064548219973,57.0216324899358,7.189057876083479,73.37050805452293,4.455398333112767,39.63483146067415,10.099737232646065
25000.0,10.484375,-2.712315310620607E-11,25000.0,0.0,70.67999999999999,3.242015833808752,41.36,6.484031667617503,61.62303664921467,4.243476222262766,23.844155844155843,8.420820347555201
26000.0,10.875,-2.8133702774842655E-11,26000.0,0.0,65.69,2.9072514702225387,31.378402340324644,5.810268672400397,54.91458607095927,3.820304165864049,6.000000000000006,7.965072521157647
27000.0,11.328125,-2.9305940390461085E-11,27000.0,0.0,63.96,1.575648014839185,27.92316359224584,3.1510945129792263,55.561035758323065,1.942845887594559,7.113402061855675,4.060948491853574
28000.0,11.8125,-3.0559021979570455E-11,28000.0,0.0,66.61,4.748438339777263,33.22,9.49687667955453,63.064159292035406,5.252697278514677,12.362204724409452,12.463092755320906
29000.0,12.203125,-3.156957164820707E-11,29000.0,0.0,69.02,4.312977831820813,38.04,8.625955663641626,67.11252653927812,4.578532730170714,19.112271540469973,11.261038725380715
30000.0,12.53125,-3.241843336986181E-11,30000.0,0.0,70.58000000000001,5.333291666503907,41.14838811973003,10.6616461392526,69.8874104401228,5.458845103893456,11.117824773413888,16.112663645026906
31000.0,12.921875,-3.342898303849842E-11,31000.0,0.0,73.92,6.537379699339276,47.84561112878896,13.077467869322174,73.6299292214358,6.610090697006347,35.12437810945275,16.26213855557034
32000.0,13.328125,-3.4479954693880443E-11,32000.0,0.0,72.48000000000002,3.79496742776243,44.96,7.589934855524854,72.3694779116466,3.8102082608056507,30.152284263959398,9.631897024777734
