learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.6875,-1.7785674168003927E-12,1000.0,0.0,49.220000000000006,2.8932104428587078,43.49796826590608,3.214365047620786,43.57777777777777,3.2146782698430076,41.76605504587156,3.317901884012276
2000.0,1.234375,-3.1933369528916135E-12,2000.0,0.0,67.96000000000001,1.4276632033579233,64.36019732423378,1.598810645192917,64.51827242524918,1.5810223735968125,63.549488054607515,1.6241902199748834
3000.0,1.8125,-4.688950462473762E-12,3000.0,0.0,69.85,1.631802003239906,66.45693031116386,1.8087431678707693,66.75854465270122,1.7991201799778482,65.66059225512528,1.858544422824493
4000.0,2.375,-6.1441419853104485E-12,4000.0,0.0,70.25,1.69000328730778,66.9196119205787,1.8772509545311078,66.83389074693422,1.884061635794626,66.26984126984128,1.9161035003489566
5000.0,2.953125,-7.639755494892599E-12,5000.0,0.0,71.17999999999999,1.4443760667576246,67.94788037137197,1.6072245988649503,68.2948294829483,1.5889725706904507,67.32426303854875,1.6376145881605717
6000.0,3.5,-9.054525030983816E-12,6000.0,0.0,69.14,0.9143303560529911,65.68588650768118,1.0107966038220604,65.74916759156493,1.0147950677613724,64.9716231555051,1.03783241322701
7000.0,4.140625,-1.0711826487547819E-11,7000.0,0.0,69.55999999999999,1.1880890351970894,66.14726927482653,1.3238429332322799,66.98481561822125,1.2885998212549779,65.4875283446712,1.3470397224456792
8000.0,4.734375,-1.2247861983875429E-11,8000.0,0.0,71.55000000000001,0.8449194570424361,68.36035191888975,0.9315837079212501,68.87308533916847,0.9244195372455599,67.85310734463276,0.9547112508954109
9000.0,5.296875,-1.3703053506712115E-11,9000.0,0.0,72.31,0.7218032973047436,69.19593208572587,0.8068632817118457,69.30155210643017,0.800225385038517,69.1304347826087,0.8046859501725111
10000.0,5.890625,-1.5239089003039732E-11,10000.0,0.0,71.99,0.9290975310602342,68.84574919670253,1.0278132004605498,68.66890380313198,1.0392589832888557,68.49268841394826,1.0451040844322086
11000.0,6.484375,-1.6775124499367358E-11,11000.0,0.0,73.08,0.8991353871606014,70.07655826066525,0.9988871589177398,70.2212389380531,0.9946187911068609,69.718785151856,1.011400885444996
12000.0,7.078125,-1.8311159995694984E-11,12000.0,0.0,72.35,0.7214953607304418,69.23837383563318,0.8001456564739376,69.58195819581958,0.7937242692304206,68.72171945701358,0.8161712225457451
13000.0,7.671875,-1.984719549202261E-11,13000.0,0.0,71.73,1.1343622780125302,68.58878679430937,1.2562512566161876,68.44866071428571,1.2660293281389885,68.2002249718785,1.2759980630062295
14000.0,8.296875,-2.1464074961841143E-11,14000.0,0.0,70.32999999999998,0.728849931208222,67.027539739639,0.8046815866007168,66.99666295884316,0.8107340725341674,66.32236095346198,0.8272984463203369
15000.0,8.875,-2.29596884714233E-11,15000.0,0.0,71.56,1.0340857475728646,68.36787520602996,1.1504941113892742,68.2943143812709,1.1528269203710924,67.90067720090293,1.1671396699468009
