learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.453125,-1.1722376156184405E-12,1000.0,0.0,59.75,1.3426756040748542,55.1815960898905,1.492789427208311,55.27777777777778,1.4918617823053961,53.841743119266056,1.5397656010032756
2000.0,0.90625,-2.344475231236882E-12,2000.0,0.0,61.660000000000004,3.591409503554593,57.34186407041481,3.9907237409016783,57.541528239202655,3.9771976783550294,56.382252559726965,4.0857901064329845
3000.0,1.390625,-3.5975568203462512E-12,3000.0,0.0,65.94000000000001,3.0775892441252695,62.14071518368448,3.396559248393616,62.44762954796031,3.3931524191017295,61.20728929384966,3.505226929527642
4000.0,1.828125,-4.729372449219228E-12,4000.0,0.0,67.64000000000001,2.25349111873604,64.01799982464253,2.491071112952666,63.92419175027871,2.5122531981449727,63.31065759637188,2.5549785926712456
5000.0,2.21875,-5.739922117855811E-12,5000.0,0.0,70.01,2.256078209834242,66.65215316817202,2.503604172394951,67.00770077007701,2.4819342242400926,65.99773242630384,2.557911802533157
6000.0,2.609375,-6.7504717864923945E-12,6000.0,0.0,68.14,2.3894211293393464,64.56420733574453,2.640705618471919,64.63928967813541,2.65196573733557,63.836549375709424,2.7121692728028894
7000.0,3.015625,-7.801443441874448E-12,7000.0,0.0,69.89,1.9433361921076744,66.49474944289065,2.1536926858486347,67.34273318872016,2.107739904672095,65.86167800453515,2.2033290159950947
8000.0,3.40625,-8.811993110511031E-12,8000.0,0.0,70.88999999999999,2.0604476320558187,67.64577454249557,2.2843528993459232,68.15098468271334,2.2543190722711373,67.10734463276836,2.328189414752342
9000.0,3.8125,-9.862964765893084E-12,9000.0,0.0,72.22999999999999,1.4063743772157151,69.10172309688944,1.5637260558177943,69.21286031042128,1.5591733672014574,69.04124860646598,1.5678644116117202
10000.0,4.1875,-1.0833092447784214E-11,10000.0,0.0,72.44999999999999,1.8112303982529543,69.34789237992395,2.0152021711320915,69.18344519015659,2.025984785517844,69.0101237345332,2.037379525593871
11000.0,4.59375,-1.1884064103166267E-11,11000.0,0.0,73.60999999999999,1.7103930672346812,70.64781861689883,1.9051932866450099,70.8075221238938,1.8920277292418963,70.31496062992126,1.9239517066756802
12000.0,4.984375,-1.289461377180285E-11,12000.0,0.0,71.94,1.7557524502806954,68.77444108840315,1.9548383805331646,69.13091309130913,1.9315208473935048,68.2579185520362,1.9861453057473886
13000.0,5.40625,-1.3986007413930357E-11,13000.0,0.0,71.42,1.551200252134528,68.23153060520839,1.7242227087465203,68.10267857142857,1.731250281400145,67.85151856017997,1.744882173379676
14000.0,5.8125,-1.503697906931241E-11,14000.0,0.0,68.34,1.5507704178532928,64.81095920056976,1.7244874490749689,64.78309232480535,1.7249949030626148,64.06356413166856,1.7602388397880744
15000.0,6.21875,-1.6087950724694462E-11,15000.0,0.0,70.6,1.3767917618708905,67.3049814049732,1.5266677809578444,67.22408026755853,1.5348849073254047,66.81715575620768,1.5539410404863294
16000.0,6.640625,-1.7179344366821985E-11,16000.0,0.0,73.46,1.4167254889748813,70.47372550406602,1.576721768392823,70.57649667405767,1.5706491008590686,69.70319634703195,1.6172665399256663
17000.0,7.09375,-1.8351581982440415E-11,17000.0,0.0,70.69,1.471544917576235,67.37359960743984,1.6350891038581552,67.9672131147541,1.6082458115587224,66.73098751418841,1.6703120517323877
18000.0,7.515625,-1.9442975624567938E-11,18000.0,0.0,69.97999999999999,1.8653566831991,66.63224335810693,2.0685018280737513,66.57015590200444,2.0772346138074655,66.07909604519774,2.107747664631753
19000.0,7.921875,-2.049394727994999E-11,19000.0,0.0,74.21999999999998,1.6033298683261274,71.34740281368799,1.7784568615531284,71.29175946547885,1.7854452876682945,70.83710407239818,1.8137215705046672
20000.0,8.3125,-2.1504496948586574E-11,20000.0,0.0,70.74000000000001,0.6931409989637359,67.48518533771151,0.7703273121775549,67.27069351230425,0.7753255021965773,67.52497225305217,0.769301885642328
21000.0,8.703125,-2.2515046617223158E-11,21000.0,0.0,73.16000000000001,1.166380917386963,70.15344112291162,1.2915454852980048,70.76252723311546,1.270567448133944,69.25544100801832,1.336060615563529
22000.0,9.09375,-2.352559628585974E-11,22000.0,0.0,73.58,1.1754904413808647,70.62734606065231,1.2964515731735327,70.90308370044053,1.294592997115492,70.07927519818799,1.331246252979459
23000.0,9.5,-2.4576567941241794E-11,23000.0,0.0,71.15999999999998,1.0564090116995417,67.95272112566258,1.1703976473009694,68.20286659316427,1.1647287890843918,67.59550561797752,1.1869764176399293
