learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.4375,-1.1318156288729774E-12,1000.0,0.0,49.519999999999996,1.014122499723009,31.856925326784026,1.5024500145226591,34.78036175710594,1.3102357877558277,26.52110625909752,1.4761608438471758
2000.0,0.859375,-2.2232092710004922E-12,2000.0,0.0,45.36000000000001,1.3074147518417194,25.247357409486387,1.9383467977421598,29.496774193548386,1.6869867765699547,19.647058823529413,1.9226687527084045
3000.0,1.28125,-3.314602913128007E-12,3000.0,0.0,45.75,0.7245688373094724,26.74614415097935,0.9814130707624243,29.177545691906005,0.945912320247352,22.720797720797727,1.032149340896683
4000.0,1.765625,-4.567684502237377E-12,4000.0,0.0,52.96,1.283398266755536,37.31609381623223,1.7443640533664297,37.94195250659631,1.6931375550864602,32.7038626609442,1.8360490225401078
5000.0,2.1875,-5.659078144364892E-12,5000.0,0.0,60.09,2.825066370901755,47.72777033023346,3.8397719236806496,49.029374201787995,3.6080030279715887,45.17857142857143,3.880585674315596
6000.0,2.625,-6.790893773237868E-12,6000.0,0.0,62.54,2.4690078979217547,50.06156029798491,3.4384972375838783,51.912708600770216,3.169458148808416,45.23391812865498,3.6096606694762534
7000.0,3.0625,-7.922709402110846E-12,7000.0,0.0,61.199999999999996,3.7623869492059923,48.51915273539321,5.114069414135577,49.61038961038961,4.886216817150635,44.9645390070922,5.33671907688793
8000.0,3.515625,-9.094947017729292E-12,8000.0,0.0,60.85,4.220650292181159,47.55655171301997,5.8387378667777865,49.74326059050064,5.41803631858942,43.5064935064935,6.090404462021873
9000.0,3.953125,-1.0226762646602269E-11,9000.0,0.0,57.26,2.4363907732545673,42.94914628038259,3.404102479908637,45.48469387755102,3.107641292416539,39.547383309759546,3.4460972747589347
10000.0,4.375,-1.1318156288729775E-11,10000.0,0.0,59.3,3.068839809729041,45.1259850938876,4.430043000759939,46.9361147327249,4.001094927938775,40.49707602339181,4.486607908960586
11000.0,4.8125,-1.2449971917602752E-11,11000.0,0.0,62.36,3.0401754335344995,49.91554591669292,4.183702589984727,51.74358974358975,3.8976608122237186,46.228571428571435,4.343107762192144
12000.0,5.25,-1.3581787546475729E-11,12000.0,0.0,59.93,2.5564949964094703,46.687430202711724,3.52483702254686,48.29677419354839,3.2987032211735134,42.59312320916906,3.6626002813889302
13000.0,5.6875,-1.4713603175348708E-11,13000.0,0.0,57.94,3.23219911377859,44.05632732381022,4.3830912461986875,46.14596670934699,4.138539198180012,40.926966292134836,4.539605496880042
14000.0,6.140625,-1.588584079096714E-11,14000.0,0.0,58.43000000000001,3.2496324578498257,45.12945744645172,4.398093372217247,45.51769331585846,4.259020259305143,40.61428571428572,4.642332082642607
15000.0,6.5625,-1.697723443309466E-11,15000.0,0.0,58.6,2.818194851713102,44.817965806972815,3.825483990661549,45.31043593130779,3.7228465676527063,40.6025824964132,4.043321164581205
16000.0,6.984375,-1.8068628075222184E-11,16000.0,0.0,59.5,1.933907960581372,46.51875224090568,2.579453551994518,48.53875476493011,2.457316341272392,42.634560906515574,2.739246403089762
17000.0,7.421875,-1.9200443704095177E-11,17000.0,0.0,62.45,2.088726353014627,49.867356313624626,2.869525543982013,52.287166454892,2.654036026702195,45.10233918128655,3.053693498559396
18000.0,7.859375,-2.033225933296817E-11,18000.0,0.0,63.92000000000001,2.416976991569799,52.07648679163775,3.3031257232092655,53.68421052631579,3.1026662279458224,48.89518413597734,3.423480158030874
19000.0,8.3125,-2.15044969485866E-11,19000.0,0.0,62.480000000000004,1.7447062790051524,50.28370229600909,2.3492718501126437,51.959026888604356,2.2339388975738195,46.01438848920863,2.5103687467700024
20000.0,8.734375,-2.2595890590714123E-11,20000.0,0.0,63.39,3.1617329987770284,51.22937950444385,4.307136657989298,53.77525252525253,3.9920871196679637,46.55474452554745,4.615668611353323
21000.0,9.171875,-2.3727706219587116E-11,21000.0,0.0,61.88999999999999,2.4437903165188155,49.41960261242019,3.363016518590425,49.98687664041995,3.2070739061926656,45.24425287356322,3.5111929835040434
22000.0,9.625,-2.4899943835205546E-11,22000.0,0.0,65.71000000000001,2.2158269086029483,54.28338463501347,3.063953894937724,55.05897771952818,2.904098176412778,50.661870503597115,3.1882401562632383
23000.0,10.078125,-2.6072181450823976E-11,23000.0,0.0,64.71000000000001,2.2693366627472624,53.01853474887928,3.195094410301495,54.04947916666667,2.9548654462855066,50.01416430594902,3.2143578792454184
24000.0,10.53125,-2.7244419066442406E-11,24000.0,0.0,66.30000000000001,2.721927421679144,55.503773291856675,3.7438577724876323,56.45994832041344,3.5167020951926955,52.867132867132874,3.80689149885195
25000.0,10.953125,-2.833581270856993E-11,25000.0,0.0,65.49000000000001,2.420491226544266,54.16387151584888,3.376063890380794,55.413436692506465,3.1272496466980226,50.840455840455846,3.447993200205513
