learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.484375,-1.2530815891093678E-12,1000.0,0.0,85.04,0.5232377832092965,70.11065667390278,1.0350889175537552,82.10526315789474,0.6258825158005884,65.29002320185614,1.2140087777477861
2000.0,0.875,-2.263631257745955E-12,2000.0,0.0,85.57000000000001,0.3653004851412643,71.14926173521263,0.7311249413290712,82.27272727272727,0.44877209476814306,70.78947368421053,0.7394746662778662
3000.0,1.21875,-3.1529149661461534E-12,3000.0,0.0,88.75999999999999,0.150554530541817,77.5104548657673,0.3020095627996147,86.80751173708921,0.17670719547161906,76.2367864693446,0.31829710473956785
4000.0,1.5,-3.880510727564496E-12,4000.0,0.0,87.95,0.2592724864350679,75.90338143558684,0.5180654545046199,85.37621359223301,0.31465107577070933,75.99601593625498,0.5164790566435608
5000.0,1.796875,-4.648528475728301E-12,5000.0,0.0,88.24000000000001,0.2170509412813313,76.47914506455652,0.43461159626405566,85.6934306569343,0.2640522400016187,76.14604462474645,0.4402656009763281
6000.0,2.109375,-5.456968210637568E-12,6000.0,0.0,87.25,0.10801234497346697,74.50594145409482,0.2151267278139696,84.02255639097743,0.13535381575621447,74.1902834008097,0.21864847160620307
7000.0,2.421875,-6.2654079455468345E-12,7000.0,0.0,87.97999999999999,0.19321835661586356,75.95684341221765,0.3852992586122628,85.19704433497537,0.23795364115252696,74.74789915966387,0.405920917260204
8000.0,2.734375,-7.073847680456101E-12,8000.0,0.0,88.53999999999999,0.12649110640673264,77.0794111761498,0.2531908675613915,85.88669950738917,0.15577722463884106,76.98795180722891,0.25399820563601905
9000.0,3.046875,-7.882287415365368E-12,9000.0,0.0,88.57,0.2750757471437064,77.14349371741295,0.5512919478027225,85.88888888888889,0.3395996878317257,77.23107569721117,0.5479596556647441
10000.0,3.359375,-8.690727150274635E-12,10000.0,0.0,88.41,0.15951314818673634,76.80900602907154,0.3207938296601832,85.47619047619047,0.19989116314127872,76.77354709418839,0.31966562762873746
11000.0,3.703125,-9.580010858674825E-12,11000.0,0.0,87.38,0.2936362072739413,74.75849453201862,0.5859248562549706,83.9440203562341,0.3735829609083157,74.55645161290323,0.5920084824071329
12000.0,4.03125,-1.0428872580329561E-11,12000.0,0.0,90.03999999999999,0.171269767715531,80.0816662973281,0.3419263094926514,88.08612440191386,0.2048681432003964,79.5482546201232,0.35168330126393
13000.0,4.359375,-1.1277734301984298E-11,13000.0,0.0,88.01999999999998,0.20976176963403137,76.03358245876987,0.4180498134416208,84.83544303797467,0.2655212273848454,75.6997971602434,0.4254802629493511
