learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.5,-1.2935035758548313E-12,1000.0,0.0,85.04,0.5232377832092965,70.11065667390278,1.0350889175537552,82.10526315789474,0.6258825158005884,65.29002320185614,1.2140087777477861
2000.0,0.875,-2.263631257745954E-12,2000.0,0.0,85.57000000000001,0.3653004851412643,71.14926173521263,0.7311249413290712,82.27272727272727,0.44877209476814306,70.78947368421053,0.7394746662778662
3000.0,1.21875,-3.152914966146152E-12,3000.0,0.0,88.75999999999999,0.150554530541817,77.5104548657673,0.3020095627996147,86.80751173708921,0.17670719547161906,76.2367864693446,0.31829710473956785
4000.0,1.5,-3.880510727564495E-12,4000.0,0.0,87.95,0.2592724864350679,75.90338143558684,0.5180654545046199,85.37621359223301,0.31465107577070933,75.99601593625498,0.5164790566435608
5000.0,1.796875,-4.6485284757283E-12,5000.0,0.0,88.24000000000001,0.2170509412813313,76.47914506455652,0.43461159626405566,85.6934306569343,0.2640522400016187,76.14604462474645,0.4402656009763281
6000.0,2.09375,-5.416546223892105E-12,6000.0,0.0,87.25,0.10801234497346697,74.50594145409482,0.2151267278139696,84.02255639097743,0.13535381575621447,74.1902834008097,0.21864847160620307
7000.0,2.421875,-6.265407945546842E-12,7000.0,0.0,87.97999999999999,0.19321835661586356,75.95684341221765,0.3852992586122628,85.19704433497537,0.23795364115252696,74.74789915966387,0.405920917260204
8000.0,2.734375,-7.0738476804561084E-12,8000.0,0.0,88.53999999999999,0.12649110640673264,77.0794111761498,0.2531908675613915,85.88669950738917,0.15577722463884106,76.98795180722891,0.25399820563601905
9000.0,3.046875,-7.882287415365376E-12,9000.0,0.0,88.57,0.2750757471437064,77.14349371741295,0.5512919478027225,85.88888888888889,0.3395996878317257,77.23107569721117,0.5479596556647441
10000.0,3.34375,-8.650305163529189E-12,10000.0,0.0,88.41,0.15951314818673634,76.80900602907154,0.3207938296601832,85.47619047619047,0.19989116314127872,76.77354709418839,0.31966562762873746
11000.0,3.65625,-9.458744898438456E-12,11000.0,0.0,87.38,0.2936362072739413,74.75849453201862,0.5859248562549706,83.9440203562341,0.3735829609083157,74.55645161290323,0.5920084824071329
12000.0,4.0,-1.0348028606838646E-11,12000.0,0.0,90.03999999999999,0.171269767715531,80.0816662973281,0.3419263094926514,88.08612440191386,0.2048681432003964,79.5482546201232,0.35168330126393
13000.0,4.359375,-1.1277734301984306E-11,13000.0,0.0,88.01999999999998,0.20976176963403137,76.03358245876987,0.4180498134416208,84.83544303797467,0.2655212273848454,75.6997971602434,0.4254802629493511
14000.0,4.6875,-1.2126596023639042E-11,14000.0,0.0,91.14,0.10749676997731147,82.28024159532683,0.21493439239654263,89.50236966824646,0.12736584120534455,82.28,0.2149935399546331
15000.0,5.0,-1.2935035758548309E-11,15000.0,0.0,90.03999999999999,0.1264911064067371,80.0808743443716,0.2531563223817051,87.97101449275361,0.15276703672311723,79.87878787878789,0.2555375887004751
16000.0,5.34375,-1.3824319466948499E-11,16000.0,0.0,89.85000000000001,0.19578900207451494,79.70464385710409,0.39053529826605743,87.77108433734941,0.23589036394519167,79.53629032258064,0.3947358912792577
17000.0,5.671875,-1.4673181188603235E-11,17000.0,0.0,90.57,0.14181364924121487,81.13934828846548,0.2838543607958307,88.66586538461539,0.17044909764569055,81.25248508946322,0.28193568437618133
18000.0,6.0,-1.5522042910257972E-11,18000.0,0.0,88.44,0.14298407059684637,76.87749939880996,0.2863052163045704,85.90243902439025,0.17437081780103297,76.92614770459082,0.28539734650069226
19000.0,6.359375,-1.6451748605403648E-11,19000.0,0.0,88.48000000000002,0.16193277068655526,76.96162579348001,0.32353462533786354,85.67164179104476,0.2014089187643647,75.84905660377358,0.33948169955250673
20000.0,6.6875,-1.7300610327058384E-11,20000.0,0.0,88.08999999999999,0.17919573407620498,76.15547505378682,0.3568124997136208,85.27812113720643,0.22150276152806972,75.0836820083682,0.3748864729627815
21000.0,7.046875,-1.823031602220406E-11,21000.0,0.0,88.8,0.14907119849998712,77.61530103233262,0.29728822827763474,86.0,0.18633899812497912,77.46478873239437,0.29994204929574514
22000.0,7.40625,-1.9160021717349736E-11,22000.0,0.0,86.04,0.11737877907772808,72.09786372295031,0.2337620766501296,81.91709844559587,0.15204505061882265,71.27572016460906,0.24152012155911234
23000.0,7.765625,-2.0089727412495413E-11,23000.0,0.0,84.67,0.094868329805053,69.17352144532641,0.1935331687601766,79.80237154150197,0.12499121186436157,67.10300429184548,0.2035801068777922
24000.0,8.140625,-2.1059855094386526E-11,24000.0,0.0,79.99,0.15238839267550075,60.06046092058696,0.30318623685115514,71.61702127659575,0.21615374847588043,59.079754601227,0.3116327048578718
25000.0,8.46875,-2.1908716816041263E-11,25000.0,0.0,77.03,1.7975600747185685,53.98133844489654,3.614638603155482,63.883647798742146,2.8263523187398887,52.54132231404959,3.71396709652597
26000.0,8.78125,-2.271715655095053E-11,26000.0,0.0,81.89,0.8633912464488132,63.792860299739544,1.7251707023790543,73.4457478005865,1.2659695695730466,62.65979381443299,1.7801881370078698
27000.0,9.0625,-2.3444752312368856E-11,27000.0,0.0,81.56000000000002,2.1381196307867145,63.36200789026938,4.154982487965349,73.73219373219374,3.0457544598101456,61.26050420168067,4.491847963837648
28000.0,9.3125,-2.4091504100296276E-11,28000.0,0.0,86.39,1.2775410408715306,72.63185826961421,2.6209663243310026,82.94486215538846,1.600928622646025,72.94234592445328,2.5398430236014518
29000.0,9.5625,-2.4738255888223696E-11,29000.0,0.0,84.51,1.439482931858209,68.92510374688906,2.916975986152757,79.88311688311688,1.8694583530626059,67.99586776859503,2.9741382889632444
30000.0,9.78125,-2.5304163702660176E-11,30000.0,0.0,86.55000000000001,0.25055493963955205,73.17256965649739,0.49395840128633917,83.41553637484586,0.30894567156541397,72.60692464358452,0.5102951927485734
31000.0,10.015625,-2.5910493503842126E-11,31000.0,0.0,85.62,0.3705851229249974,71.24,0.741170245849991,81.72808132147395,0.4708832565755957,71.06639839034204,0.7456441105130697
32000.0,10.25,-2.6516823305024076E-11,32000.0,0.0,87.15,0.3566822426505485,74.2957732074124,0.713929798983017,84.25245098039215,0.4371105914835116,72.30603448275862,0.7687117298503127
33000.0,10.484375,-2.7123153106206026E-11,33000.0,0.0,87.66,0.0966091783079312,75.30790519753644,0.19408767941321514,84.80295566502463,0.1189768205762751,74.07563025210084,0.20296045863010195
34000.0,10.71875,-2.7729482907387976E-11,34000.0,0.0,86.90999999999998,0.2960855732160327,73.82108283046452,0.5919423728450826,83.77942998760842,0.3668966210855408,73.71485943775099,0.5945493438072983
