learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.65625,-1.6977234433094665E-12,1000.0,0.0,84.52,0.7130529043797817,69.01255541846952,1.4450453365924758,81.21359223300969,0.865355466480321,67.9503105590062,1.476300009067872
2000.0,1.21875,-3.152914966146153E-12,2000.0,0.0,87.72,0.5846176338238344,75.44092040272771,1.169731663262944,85.09708737864078,0.7094874196891136,75.04065040650407,1.188247223219174
3000.0,1.765625,-4.567684502237376E-12,3000.0,0.0,88.95,0.3628590176179529,77.90450084602853,0.7275200606536184,86.8452380952381,0.43197502097375723,77.67676767676768,0.7330485204403117
4000.0,2.359375,-6.103719998564986E-12,4000.0,0.0,88.08,0.22509257354845522,76.16197541643064,0.4506353269666246,85.32019704433498,0.27720760289218865,75.87044534412956,0.4556529828916116
5000.0,2.9375,-7.599333508147136E-12,5000.0,0.0,88.78,0.40496913462633444,77.55974832438181,0.811030209066478,86.35036496350364,0.49266318081062543,76.91358024691358,0.8332698243340193
6000.0,3.53125,-9.135369004474746E-12,6000.0,0.0,87.91,0.27264140062238273,75.8227617352198,0.5435331223841573,84.96268656716418,0.33910621967957877,75.67404426559355,0.548574246725114
7000.0,4.140625,-1.0711826487547825E-11,7000.0,0.0,89.66,0.25905812303633985,79.31863934568487,0.5168974253963317,87.512077294686,0.31287212927093644,78.72427983539094,0.5330414054245668
8000.0,4.78125,-1.2369127944111829E-11,8000.0,0.0,89.92999999999999,0.10593499054713927,79.86018559423306,0.21183646118984706,87.86746987951808,0.12763251873149525,79.77911646586347,0.2127208645524944
9000.0,5.4375,-1.4066851387421301E-11,9000.0,0.0,88.8,0.33993463423951714,77.59885801917514,0.6797220711065914,86.37469586374696,0.41354578374638146,76.6179540709812,0.7096756455939873
10000.0,6.109375,-1.580499681747624E-11,10000.0,0.0,88.03000000000002,0.30568684048294287,76.05994544690901,0.6116645361202568,84.84810126582279,0.38694536769992693,75.81818181818183,0.617549172692818
