learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),[avg] classified instances,[err] classified instances,[avg] classifications correct (percent),[err] classifications correct (percent),[avg] Kappa Statistic (percent),[err] Kappa Statistic (percent),[avg] Kappa Temporal Statistic (percent),[err] Kappa Temporal Statistic (percent),[avg] Kappa M Statistic (percent),[err] Kappa M Statistic (percent)
1000.0,0.234375,-6.063298011819521E-13,1000.0,0.0,84.24,0.4835057163858338,68.45574263603905,0.9884196324225687,80.87378640776697,0.5867787820216456,67.37060041407867,1.0010470318547287
2000.0,0.421875,-1.0913936421275136E-12,2000.0,0.0,86.59,0.3510302297840194,73.1840273699868,0.7016803622969292,83.72572815533981,0.426007560417507,72.74390243902438,0.7134760767967934
3000.0,0.640625,-1.657301456564002E-12,3000.0,0.0,88.75,0.3979112128771122,77.50627693617508,0.7984921746432309,86.60714285714286,0.4737038248536994,77.27272727272728,0.8038610361153752
4000.0,0.84375,-2.1827872842550277E-12,4000.0,0.0,87.4,0.34641016151377246,74.80384440898888,0.6936890977663318,84.48275862068965,0.426613499401196,74.49392712550608,0.7012351447647284
5000.0,1.015625,-2.6274291384551268E-12,5000.0,0.0,88.11999999999999,0.3583914681524185,76.24391811781213,0.7151709545365974,85.54744525547444,0.4359993529834795,75.55555555555554,0.7374310044288493
6000.0,1.21875,-3.1529149661461534E-12,6000.0,0.0,86.97,0.5186520991956002,73.94520958104295,1.0330494329374287,83.79353233830844,0.6450896756164173,73.78269617706238,1.0435655919428553
7000.0,1.40625,-3.6379788070917146E-12,7000.0,0.0,89.5,0.29439202887759375,79.002819751541,0.5887655948464475,87.31884057971013,0.3555459285961274,78.39506172839506,0.6057449153859941
8000.0,1.609375,-4.163464634782741E-12,8000.0,0.0,89.2,0.3741657386773977,78.40085483373339,0.7480433924493467,86.98795180722891,0.4508020947920457,78.3132530120482,0.7513368246534008
9000.0,1.828125,-4.7293724492192294E-12,9000.0,0.0,88.52000000000001,0.2529822128134751,77.03823305139986,0.5061684282072312,86.03406326034062,0.3077642491648097,76.03340292275574,0.5281465820740507
10000.0,2.015625,-5.214436290164794E-12,10000.0,0.0,87.72,0.30110906108363333,75.43662095456804,0.6040326723016088,84.45569620253166,0.38115071023244407,75.1919191919192,0.6083011335022868
11000.0,2.234375,-5.7803441046012826E-12,11000.0,0.0,87.5,0.2867441755680886,74.98858081063985,0.5743119243290932,84.43337484433377,0.35709112773112134,74.120082815735,0.5936732413417949
12000.0,2.4375,-6.305829932292309E-12,12000.0,0.0,89.01,0.1791957340762067,78.02207879062424,0.35807962616564937,86.38166047087981,0.22205171508823315,78.40864440078586,0.35205448737958517
13000.0,2.625,-6.790893773237874E-12,13000.0,0.0,88.94,0.21705094128132804,77.88512364358014,0.4324032418609831,86.5939393939394,0.26309205003797886,77.47454175152748,0.44205894354649344
14000.0,2.828125,-7.3163796009289E-12,14000.0,0.0,90.42,0.24855135843076442,80.84147306472366,0.49698757342453076,88.60879904875148,0.2955426378487116,80.52845528455285,0.5051856878674021
15000.0,3.03125,-7.841865428619927E-12,15000.0,0.0,90.88,0.24855135843076226,81.7472659829372,0.5020785691636159,89.35822637106185,0.2900249223229469,81.15702479338843,0.5135358645263663
16000.0,3.25,-8.407773243056423E-12,16000.0,0.0,89.74999999999999,0.12692955176439402,79.5002406321781,0.25360205371696964,87.59079903147699,0.15366773821355997,79.29292929292929,0.256423336897767
17000.0,3.453125,-8.93325907074745E-12,17000.0,0.0,90.58,0.28205594401741263,81.15906714055535,0.5640636069965683,88.86524822695034,0.33339946101349455,79.47712418300654,0.6145009673582037
18000.0,3.671875,-9.499166885183946E-12,18000.0,0.0,90.11,0.18529256146249504,80.22127212179414,0.3706567868408072,88.01212121212122,0.22459704419697246,79.52380952380953,0.38362849164078117
19000.0,3.890625,-1.0065074699620443E-11,19000.0,0.0,90.56,0.1349897115421084,81.12169772854672,0.2694718042667531,88.78859857482186,0.1603203224965717,81.11999999999999,0.26997942308422
