DataSet: SEAFD_A - Accuracy
Instance,  DD_RSM,   DD+FS,     RSM,      FS,     ARF
  1000.0,   85.05,   85.03,   83.83,   85.04,   78.72
  2000.0,   85.47,   85.62,   83.40,   85.57,   83.51
  3000.0,   88.42,   88.61,   84.93,   88.76,   85.50
  4000.0,   87.57,   87.86,   84.63,   87.95,   85.99
  5000.0,   87.92,   88.13,   81.28,   88.24,   85.31
  6000.0,   86.65,   86.95,   80.64,   87.25,   85.45
  7000.0,   87.77,   87.90,   83.38,   87.98,   86.19
  8000.0,   87.95,   88.31,   82.89,   88.54,   86.82
  9000.0,   88.26,   88.48,   81.19,   88.57,   86.99
 10000.0,   88.03,   88.22,   81.83,   88.41,   87.03
 11000.0,   87.01,   87.22,   82.90,   87.38,   85.85
 12000.0,   89.14,   89.62,   85.65,   90.04,   88.00
 13000.0,   87.38,   87.61,   84.24,   88.02,   85.94
 14000.0,   90.42,   90.79,   87.93,   91.14,   89.18
 15000.0,   89.58,   89.77,   87.77,   90.04,   88.33
 16000.0,   89.01,   89.44,   86.91,   89.96,   87.91
 17000.0,   89.83,   90.13,   87.85,   90.45,   88.80
 18000.0,   87.99,   88.23,   86.07,   88.45,   86.86
 19000.0,   88.41,   88.72,   85.73,   88.89,   87.12
 20000.0,   87.83,   88.12,   85.86,   88.41,   86.91
 21000.0,   88.90,   89.19,   87.12,   89.48,   88.01
 22000.0,   87.31,   87.52,   85.53,   87.86,   86.42
 23000.0,   89.58,   89.89,   87.19,   90.22,   88.39
 24000.0,   87.66,   88.07,   85.21,   88.29,   86.90
 25000.0,   87.95,   88.37,   84.46,   88.62,   86.69
 26000.0,   67.51,   60.64,   80.00,   57.95,   72.18
 27000.0,   78.66,   74.40,   83.14,   80.87,   84.21
 28000.0,   83.45,   81.24,   86.75,   88.59,   87.81
 29000.0,   82.60,   81.11,   86.08,   86.57,   85.51
 30000.0,   84.39,   84.07,   87.50,   88.39,   86.03
 31000.0,   82.90,   83.07,   85.68,   86.52,   84.86
 32000.0,   85.33,   85.37,   87.10,   88.13,   86.58
 33000.0,   84.97,   85.31,   86.63,   88.03,   86.27
 34000.0,   84.07,   84.82,   85.07,   87.47,   85.18
 35000.0,   84.19,   85.28,   84.36,   87.68,   85.21
 36000.0,   87.85,   88.40,   86.28,   90.65,   88.44
 37000.0,   87.02,   87.45,   84.51,   89.73,   87.54
 38000.0,   85.74,   86.92,   84.65,   89.03,   85.86
 39000.0,   85.23,   86.24,   84.56,   88.38,   85.39
 40000.0,   86.25,   87.77,   84.98,   89.62,   86.41
 41000.0,   86.15,   87.29,   84.30,   89.23,   86.37
 42000.0,   88.18,   88.54,   84.71,   90.14,   88.14
 43000.0,   87.73,   88.27,   83.93,   90.07,   87.70
 44000.0,   87.10,   87.41,   83.72,   89.17,   87.39
 45000.0,   85.58,   86.06,   82.18,   88.47,   85.73
 46000.0,   86.06,   86.16,   83.35,   87.75,   85.94
 47000.0,   86.60,   87.47,   85.62,   89.42,   86.34
 48000.0,   87.88,   87.84,   86.11,   89.92,   88.11
 49000.0,   85.53,   86.44,   84.10,   88.18,   86.01
 50000.0,   87.02,   87.26,   86.77,   89.13,   87.12
 51000.0,   79.88,   71.60,   78.73,   57.28,   68.37
 52000.0,   81.57,   75.18,   82.81,   82.73,   85.14
 53000.0,   84.36,   78.94,   83.68,   88.49,   86.70
 54000.0,   82.12,   78.17,   81.54,   86.31,   83.65
 55000.0,   84.25,   80.26,   84.18,   87.48,   85.59
 56000.0,   83.57,   81.77,   84.02,   87.18,   85.06
 57000.0,   82.09,   80.81,   82.77,   85.58,   84.04
 58000.0,   85.25,   84.99,   86.09,   88.65,   86.52
 59000.0,   84.51,   84.10,   86.03,   87.70,   85.61
 60000.0,   84.80,   84.34,   86.12,   87.88,   85.95
 61000.0,   85.15,   85.64,   85.84,   88.95,   86.47
 62000.0,   85.96,   86.17,   86.01,   89.88,   87.43
 63000.0,   85.11,   85.46,   86.62,   89.27,   86.48
 64000.0,   84.98,   84.76,   85.22,   87.63,   85.16
 65000.0,   86.82,   86.78,   86.99,   90.09,   88.37
 66000.0,   85.93,   85.63,   86.62,   89.25,   86.81
 67000.0,   86.21,   86.00,   86.39,   89.38,   87.28
 68000.0,   85.45,   85.21,   85.07,   87.82,   86.28
 69000.0,   86.28,   86.45,   82.36,   89.60,   86.49
 70000.0,   86.77,   86.93,   82.84,   90.40,   87.25
 71000.0,   88.49,   87.89,   86.45,   91.20,   89.26
 72000.0,   86.88,   86.87,   85.35,   90.51,   87.90
 73000.0,   87.78,   87.26,   82.49,   90.78,   88.78
 74000.0,   85.18,   85.02,   78.76,   88.30,   85.79
 75000.0,   86.88,   86.35,   81.36,   90.11,   87.77
 76000.0,   73.96,   56.70,   77.32,   55.78,   63.63
 77000.0,   78.26,   65.36,   78.84,   79.38,   81.17
 78000.0,   80.45,   71.40,   81.29,   87.60,   85.07
 79000.0,   82.39,   74.93,   82.68,   87.19,   85.84
 80000.0,   83.21,   79.81,   86.05,   88.64,   86.96
 81000.0,   83.73,   83.40,   87.84,   88.95,   87.49
 82000.0,   80.94,   83.32,   85.36,   87.71,   85.43
 83000.0,   81.30,   82.97,   85.70,   87.24,   84.84
 84000.0,   82.41,   83.33,   85.71,   87.81,   85.15
 85000.0,   83.08,   84.29,   85.45,   88.77,   86.36
 86000.0,   85.17,   86.52,   87.04,   90.25,   88.23
 87000.0,   84.75,   86.26,   85.06,   89.72,   88.14
 88000.0,   84.64,   85.96,   85.03,   89.50,   87.74
 89000.0,   85.13,   86.75,   86.15,   90.16,   87.81
 90000.0,   83.55,   86.28,   86.38,   90.07,   87.40
 91000.0,   84.02,   85.35,   85.56,   88.98,   87.03
 92000.0,   84.88,   86.75,   87.41,   90.44,   88.19
 93000.0,   83.80,   85.07,   84.75,   88.99,   86.18
 94000.0,   82.58,   84.24,   82.90,   88.02,   85.76
 95000.0,   85.61,   87.35,   87.10,   90.71,   88.53
 96000.0,   81.73,   84.64,   82.42,   88.17,   84.87
 97000.0,   86.52,   87.50,   87.20,   90.94,   89.15
 98000.0,   84.25,   86.00,   85.40,   89.75,   87.36
 99000.0,   86.63,   87.65,   87.65,   91.07,   89.18
100000.0,   83.33,   85.54,   85.03,   89.14,   86.39
DataSet: SEAFD_A - Kappa M
Instances,  DD_RSM,   DD+FS,     RSM,      FS,     ARF
  1000.0,   65.31,   65.27,   62.48,   65.29,   50.63
  2000.0,   70.59,   70.89,   66.40,   70.79,   66.62
  3000.0,   75.52,   75.92,   68.14,   76.24,   69.34
  4000.0,   75.24,   75.82,   69.38,   76.00,   72.09
  5000.0,   75.50,   75.92,   62.03,   76.15,   70.20
  6000.0,   72.98,   73.58,   60.81,   74.19,   70.55
  7000.0,   74.31,   74.58,   65.08,   74.75,   70.99
  8000.0,   75.80,   76.53,   65.64,   76.99,   73.53
  9000.0,   76.61,   77.05,   62.53,   77.23,   74.08
 10000.0,   76.01,   76.39,   63.59,   76.77,   74.01
 11000.0,   73.81,   74.23,   65.52,   74.56,   71.47
 12000.0,   77.70,   78.69,   70.53,   79.55,   75.36
 13000.0,   74.40,   74.87,   68.03,   75.70,   71.48
 14000.0,   80.84,   81.58,   75.86,   82.28,   78.36
 15000.0,   78.95,   79.33,   75.29,   79.88,   76.42
 16000.0,   77.89,   78.75,   73.66,   79.80,   75.67
 17000.0,   79.70,   80.30,   75.75,   80.94,   77.64
 18000.0,   76.12,   76.60,   72.31,   77.04,   73.88
 19000.0,   75.95,   76.60,   70.39,   76.95,   73.28
 20000.0,   74.96,   75.56,   70.91,   76.15,   73.07
 21000.0,   77.93,   78.51,   74.39,   79.09,   76.16
 22000.0,   74.26,   74.69,   70.65,   75.38,   72.45
 23000.0,   78.34,   78.98,   73.37,   79.67,   75.86
 24000.0,   74.92,   75.75,   69.94,   76.20,   73.37
 25000.0,   75.10,   75.97,   67.89,   76.49,   72.50
 26000.0,   35.92,   22.37,   60.55,   17.06,   45.13
 27000.0,   55.73,   46.89,   65.02,   60.31,   67.24
 28000.0,   66.90,   62.48,   73.50,   77.18,   75.62
 29000.0,   64.12,   61.05,   71.30,   72.31,   70.12
 30000.0,   67.81,   67.15,   74.23,   76.06,   71.20
 31000.0,   65.59,   65.94,   71.19,   72.88,   69.54
 32000.0,   69.56,   69.65,   73.24,   75.37,   72.16
 33000.0,   69.01,   69.71,   72.43,   75.32,   71.69
 34000.0,   68.33,   69.82,   70.32,   75.09,   70.54
 35000.0,   67.13,   69.40,   67.48,   74.39,   69.25
 36000.0,   74.95,   76.08,   71.71,   80.72,   76.16
 37000.0,   73.56,   74.44,   68.45,   79.08,   74.62
 38000.0,   70.96,   73.36,   68.74,   77.66,   71.20
 39000.0,   69.98,   72.03,   68.62,   76.38,   70.30
 40000.0,   72.00,   75.09,   69.41,   78.86,   72.32
 41000.0,   72.68,   74.93,   69.03,   78.76,   73.12
 42000.0,   75.98,   76.71,   68.92,   79.96,   75.89
 43000.0,   75.26,   76.35,   67.60,   79.98,   75.20
 44000.0,   73.67,   74.31,   66.78,   77.90,   74.27
 45000.0,   70.93,   71.90,   64.07,   76.75,   71.23
 46000.0,   72.12,   72.32,   66.70,   75.50,   71.88
 47000.0,   73.09,   74.84,   71.12,   78.76,   72.57
 48000.0,   75.47,   75.38,   71.88,   79.60,   75.93
 49000.0,   71.06,   72.88,   68.20,   76.36,   72.02
 50000.0,   73.83,   74.31,   73.33,   78.08,   74.03
 51000.0,   57.91,   40.59,   55.50,   10.63,   33.83
 52000.0,   62.77,   49.86,   65.27,   65.11,   69.98
 53000.0,   67.14,   55.76,   65.71,   75.82,   72.06
 54000.0,   63.13,   54.99,   61.94,   71.77,   66.29
 55000.0,   68.05,   59.96,   67.91,   74.60,   70.77
 56000.0,   65.63,   61.86,   66.57,   73.18,   68.74
 57000.0,   63.15,   60.51,   64.55,   70.33,   67.16
 58000.0,   70.44,   69.92,   72.12,   77.25,   72.99
 59000.0,   68.19,   67.35,   71.31,   74.74,   70.45
 60000.0,   69.72,   68.80,   72.35,   75.86,   72.01
 61000.0,   69.44,   70.45,   70.86,   77.26,   72.16
 62000.0,   71.52,   71.95,   71.62,   79.47,   74.50
 63000.0,   68.91,   69.65,   72.07,   77.60,   71.77
 64000.0,   69.47,   69.02,   69.96,   74.86,   69.84
 65000.0,   73.10,   73.02,   73.45,   79.78,   76.27
 66000.0,   71.17,   70.55,   72.58,   77.97,   72.97
 67000.0,   71.68,   71.25,   72.05,   78.19,   73.88
 68000.0,   70.90,   70.42,   70.14,   75.64,   72.56
 69000.0,   71.71,   72.06,   63.63,   78.56,   72.14
 70000.0,   72.72,   73.05,   64.62,   80.21,   73.71
 71000.0,   76.65,   75.44,   72.52,   82.15,   78.22
 72000.0,   72.72,   72.70,   69.54,   80.27,   74.84
 73000.0,   75.61,   74.57,   65.05,   81.60,   77.60
 74000.0,   69.12,   68.79,   55.75,   75.62,   70.40
 75000.0,   74.17,   73.13,   63.31,   80.53,   75.93
 76000.0,   46.20,   10.54,   53.14,    8.64,   24.86
 77000.0,   54.33,   27.23,   55.55,   56.68,   60.44
 78000.0,   60.34,   41.99,   62.05,   74.85,   69.72
 79000.0,   64.13,   48.94,   64.73,   73.91,   71.16
 80000.0,   66.15,   59.29,   71.88,   77.10,   73.71
 81000.0,   67.00,   66.33,   75.33,   77.59,   74.62
 82000.0,   61.42,   66.23,   70.36,   75.12,   70.51
 83000.0,   62.45,   65.80,   71.29,   74.38,   69.56
 84000.0,   63.43,   65.34,   70.29,   74.66,   69.13
 85000.0,   64.90,   67.41,   69.81,   76.70,   71.70
 86000.0,   70.98,   73.62,   74.64,   80.92,   76.97
 87000.0,   68.94,   72.02,   69.57,   79.06,   75.85
 88000.0,   68.40,   71.11,   69.20,   78.40,   74.77
 89000.0,   69.53,   72.85,   71.62,   79.84,   75.02
 90000.0,   66.63,   72.17,   72.37,   79.86,   74.44
 91000.0,   67.72,   70.40,   70.83,   77.74,   73.80
 92000.0,   68.70,   72.57,   73.93,   80.21,   75.55
 93000.0,   66.39,   69.02,   68.36,   77.16,   71.33
 94000.0,   65.16,   68.48,   65.80,   76.04,   71.52
 95000.0,   70.45,   74.02,   73.51,   80.92,   76.45
 96000.0,   62.79,   68.72,   64.20,   75.91,   69.19
 97000.0,   72.82,   74.80,   74.19,   81.73,   78.12
 98000.0,   67.86,   71.43,   70.20,   79.08,   74.20
 99000.0,   72.83,   74.90,   74.90,   81.85,   78.01
100000.0,   66.92,   71.31,   70.30,   78.45,   73.00
DataSet: SEAFD_A - Kappa T
Instances,  DD_RSM,   DD+FS,     RSM,      FS,     ARF
  1000.0,   82.12,   82.09,   80.66,   82.11,   74.55
  2000.0,   82.15,   82.33,   79.61,   82.27,   79.74
  3000.0,   86.41,   86.63,   82.31,   86.81,   82.98
  4000.0,   84.92,   85.27,   81.35,   85.38,   83.00
  5000.0,   85.30,   85.56,   77.23,   85.69,   82.13
  6000.0,   83.27,   83.65,   75.74,   84.02,   81.77
  7000.0,   84.94,   85.10,   79.53,   85.20,   82.99
  8000.0,   85.16,   85.60,   78.93,   85.89,   83.77
  9000.0,   85.51,   85.78,   76.78,   85.89,   83.94
 10000.0,   85.00,   85.24,   77.23,   85.48,   83.75
 11000.0,   83.47,   83.74,   78.24,   83.94,   82.00
 12000.0,   87.01,   87.58,   82.83,   88.09,   85.65
 13000.0,   84.03,   84.32,   80.05,   84.84,   82.20
 14000.0,   88.65,   89.09,   85.70,   89.50,   87.18
 15000.0,   87.42,   87.64,   85.23,   87.97,   85.91
 16000.0,   86.76,   87.28,   84.23,   87.90,   85.43
 17000.0,   87.78,   88.14,   85.40,   88.52,   86.54
 18000.0,   85.37,   85.66,   83.03,   85.93,   84.00
 19000.0,   85.71,   86.09,   82.40,   86.30,   84.12
 20000.0,   84.92,   85.28,   82.48,   85.64,   83.78
 21000.0,   86.45,   86.80,   84.27,   87.16,   85.36
 22000.0,   84.18,   84.44,   81.96,   84.86,   83.07
 23000.0,   87.45,   87.82,   84.57,   88.22,   86.01
 24000.0,   84.54,   85.05,   81.47,   85.33,   83.58
 25000.0,   85.29,   85.80,   81.03,   86.11,   83.75
