     SEAFD_A   81.90,   81.31,   81.22,   84.82,   82.83
     SEAFD_G   81.40,   79.44,   81.27,   83.67,   81.81
       SEA_A   83.70,   84.26,   83.19,   85.43,   85.75
       SEA_G   83.21,   83.90,   81.99,   84.51,   84.78
 covtypeNorm  -76.82,  -68.85,  -66.61,  -64.98, -110.56
       AGR_A   85.03,   85.22,   82.41,   85.63,   77.34
       AGR_G   82.03,   85.00,   79.45,   84.32,   73.54
       HYPER   65.33,   66.26,   65.17,   69.90,   64.37
       RBF_M   64.33,   64.33,   59.39,   70.65,   75.01
       RBF_F   31.89,   35.46,   38.98,   45.11,   55.22
       LED_A   64.15,   65.44,   67.13,   70.29,   66.75
       LED_G   64.82,   66.04,   66.73,   69.72,   66.08
     weather   29.98,   27.76,   25.37,   26.66,   31.94
 elecNormNew   11.12,    4.04,   -0.65,    6.62,   14.21
