     SEAFD_A   52.25,   43.94,   39.14,   26.22,   88.56
     SEAFD_G   49.80,   38.66,   38.55,   27.27,   90.38
       SEA_A   25.41,   25.12,   17.67,   22.67,   63.72
       SEA_G   24.11,   23.61,   16.38,   21.69,   63.73
 covtypeNorm  105.94,   69.48,   85.17,   44.78,  114.16
       AGR_A   44.97,   41.38,   40.58,   24.72,  146.92
       AGR_G   46.23,   39.61,   42.03,   29.16,  157.81
       HYPER   43.06,   53.55,   31.95,   54.12,  100.97
       RBF_M   74.31,   75.97,   44.98,   90.61,   95.42
       RBF_F   71.86,   87.28,   44.64,   81.00,   99.59
       LED_A   60.28,   61.97,   40.52,   65.78,   64.30
       LED_G   60.66,   67.03,   43.45,   68.52,   66.20
     weather    6.28,    5.94,    4.83,    5.09,   15.55
 elecNormNew   18.34,   14.12,   15.78,   12.86,   44.23
